#codeDisplay		axl.ne
#nameDisplay		AXL Niger
#isoRegionCode	NE	
#yearCollected	2014	
#languageUse	Speaks	
#acquisitionOrder	L1	
#quantity		count
#population		18072900
#responsesPerIndividual	1	
#collectorType	Secondary	
#presentedBy	AXL	
#url	https://www.axl.cefan.ulaval.ca/afrique/niger.htm	
#dateAccessed	2026-09-02	
Language Code	Language	Population
hau	Hausa	8 542 000
dje	Zarma	3 298 000
ful	Peul	1 507 000
son	Songhai (Sonrhai)	946 000
tmh/thz	Tamajaq	833 000
kau	Kanuri	771 000
hau	Hausa	676 000
ara/arq	Algerian Arabic	386 000
ara/arq	Algerian Arabic	260 000
mos	Mossi	174 000
tmh/taq	Tamasheq	135 000
ddn	Dendi	102 000
dzg	Dazaga	67 000
yor	Yoruba	58 000
gux	Gourmantché	56 000
tda	Tagdal	47 000
man/bam	Bambara	39 000
kbl	Kanembu	25 000
ara/mey	Hassaniya	19 000
dzg	Toubou (tedaga)	19 000
twq	Tassawaq	15 000
bdm	Buduma	9 700
ara/ayl	Libyan Arabic	9 300
ara/shu	Shuwa Arabic	9 300
ara/apc	Lebanese Arabic	5 700
fra	French	3 900
mul	Others (unspecified)	60 000
