#codeDisplay		bw2001	bw2011	bw2022
#nameDisplay		Botswana 2001	Botswana 2011	Botswana 2022
#isoRegionCode	BW			
#yearCollected		2001	2011	2022
#datePublished		2003	2015	2024
#populationEligible		1,601,885	2,024,904	2,359,609
#notes	Census - de facto - complete tabulation			
#age		2+		
#responsesPerIndividual	1			
#acquisitionOrder	L1			
#url	https://data.un.org/Data.aspx?d=POP&f=tableCode:27			
#collectorType	Government			
Language Code	Language Name	bw2001	bw2011	bw2022
mul	Total	1,601,885	2,024,904	2,359,609
tsn	Setswana	1,253,080	1,484,598	1,697,564
mis	Unknown	3,368	105,554	243,961
kck	Kalagan	126,952	141,616	114,566
eng	English	34,433	52,921	84,268
xkv	Sekgalagadi	44,706	65,375	59,231
sna/zezu1238	Zezuru/Shona	11,308	38,489	35,272
mhw	Sempukushu	27,653	31,229	33,405
tshw1239	Sesarwa	30,037	31,778	18,912
nde	Ndebele	8,174	18,959	13,902
her	Herero	10,998	18,710	14,392
two	Setswapong	5,382		15,994
brl	Sebirwa	11,633		12,006
mul	Other African	10,036	1,348	
afr	Afrikaans	6,750	8,082	8,050
mul	Other Asian	1,891	7,337	
mul	Other European Languages	804	7,010	
sbs	Sesubiya	6,477	6,515	4,989
yey	Seyei	4,801	4,181	2,511
mul	Indian	1,848		
mul	Other	864	1,202	
naq	Sekgothu	690		586
