#codeDisplay		mu2000	mu2011
#nameDisplay		Mauritius 2000	Mauritius 2011
#isoRegionCode		MU	MU
#yearCollected		2000	2011
#datePublished		2003	2012
#populationEligible		1,178,848	1,236,817
#notes		Census - de jure - complete tabulation	Excludes the islands of St. Brandon and Agalega. Census - de jure - complete tabulation
#mode		Speaks	
#domain		Home	
#acquisitionOrder		Any	
#responsesPerIndividual		1	1
#url	https://data.un.org/Data.aspx?d=POP&f=tableCode:27		
#collectorType	Government		
Language Code	Language Name	mu2000	mu2011
mul	Total	1,178,848	1,236,817
mfe	Creole	826,152	1,069,874
bho	Bhojpuri	142,387	65,289
mfe/bho	#Creole and Bhojpuri	64,105	7,104
fra	French	39,953	51,214
mfe/fra	#Creole and French	33,795	7,001
hin	Hindi	7,250	8,690
hin/bho	#Bhojpuri and Hindi	7,298	238
ben	Bengali		7,139
zho	Chinese	6,796	2,258
mfe	#Creole and Other European languages	5,952	
eng	English	3,512	5,573
mfe/hin	#Creole and Hindi	4,572	790
tam	Tamil	3,623	1,134
mfe/tam	#Creole and Tamil	3,274	284
mis	Not stated	3,093	1,549
mfe/tel	#Creole and Telegu	2,841	152
mul	Other European and Oriental	2,501	
mul	Other European Languages	756	84
mul	Other Oriental	722	
tel	Telugu	2,169	1,600
mar	Marathi	1,888	490
mfe	#Creole and Other Oriental languages	1,881	
urd	Urdu	1,789	814
mfe/urd	#Creole and Urdu	3,536	110
fra	#French and Other European	1,719	21
mfe/mar	#Creole and Marathi	1,656	94
mfe/zho	#Creole and Chinese	1,506	303
mlg	Malagasy		1,283
zho/cmn	Mandarin	996	637
sin	Sinhalese		815
mul	Other	807	45
zho/hak	Hakka	610	330
fra	#French and Oriental	430	11
mfe/eng	#Creole and English		340
eng/fra	#English and French		322
mul	Other Indian		291
mul	Other mixed Indian		159
guj	Gujarati	241	253
zho	#Other Chinese	212	20
bho/urd	#Bhojpuri and Urdu	166	
yue	Cantonese	134	31
zho/cmn	#Chinese and Mandarin		109
eng	#English and Oriental		87
bho/mar	#Bhojpuri and Marathi	86	2
ara	Arabic	82	36
hin	#Hindi and Other Oriental	73	
zho/eng	#Chinese and English	63	
bho/tel	#Bhojpuri and Telegu	52	1
mfe	#Creole and Other		41
rus	Russian		40
zho	#Chinese and Oriental	39	
mul	Other mixed European		39
afr	Afrikaans		36
hin/urd	#Hindi and Urdu	8	34
bho	#Bhojpuri and Oriental	30	
hin/mar	#Hindi and Marathi	26	3
hin/tam	#Hindi and Tamil	18	
hin/tel	#Hindi and Telegu	18	
zho	#Chinese and European		14
bho/tam	#Bhojpuri and Tamil	13	4
swa	Swahili		11
mul	Other mixed Chinese		10
mul	English and Other European		8
mar/tam	#Marathi and Tamil	8	
tam	#Tamil and Other Oriental	4	
mar	#Marathi and Oriental	3	
tam/tel	#Tamil and Telegu	3	
