#codeDisplay		ru2010
#nameDisplay		Russia 2010
#isoRegionCode	RU	
#yearCollected		2010
#populationEligible		142,856,536
#url		https://data.un.org/Data.aspx?d=POP&f=tableCode:27
#datePublished		2012
#collectorType		Government
#dateAccessed		2025-06-13
#modality		Spoken
#acquisitionOrder		Any
#sampleRate		1
#responsesPerIndividual		1+
#notes		Census - de jure - complete tabulation
Language Code	Language Name	Russia 2010
mul	Total	142,856,536
rus	Russian	137,494,893
eng	English	7,574,303
tat	Tatar	4,280,718
deu	German	2,069,949
che	Chechen	1,354,705
bak	Bashkir	1,152,404
ukr	Ukrainian	1,129,838
chv	Chuvash	1,042,989
ava	Avar	715,297
hye	Armenian	660,935
fra	French	616,394
kbd	Kabardian	515,672
dar	Dargan	485,705
aze/azj	Azerbaijani	473,044
oss	Ossetian	451,431
sah	Yakut	450,140
kum	Kumyk	426,212
lez	Lezgi	402,173
kaz	Kazakh	401,455
mord1256	Mordvinian	392,941
chm	Mari	365,127
udm	Udmurt	324,338
inh	Ingush	305,868
krc	Karachai-Balkar	305,364
uzb	Uzbek	273,451
tyv	Tuvinian	253,673
bua	Buryat	218,557
bel	Byelorussian	173,980
kat	Georgian	170,659
kom	Komi	156,099
spa	Spanish	152,147
tur	Turkish	146,363
lbe	Lak	145,895
tgk	Tadzhik	141,938
rom	Romany	128,197
tab	Tabasaran	126,136
sgn/rsl	#Sign Languages	120,528
ady	Adyge	119,463
ron/mol	Moldavian	96,061
nog	Nogai	87,119
ita	Italian	83,202
xal	Kalmouk	80,546
kir	Kirgliz	80,306
zho	Chinese	70,722
pol	Polish	67,446
koi	Komi-Permyak	63,106
alt	Altaian	55,720
ara	Arabic	46,750
kjh	Khakass	42,604
ell	Greek	42,518
kor	Korean	42,384
lat	Latin	40,200
fin	Finnish	38,873
abq	Abaza	37,831
mord1256/myv	Erzya-Mordvinian	36,726
kur	Kurd	34,699
jpn	Japanese	33,855
lit	Lithuanian	31,295
tuk	Turkmen	30,767
rut	Rutult	30,360
agx	Agul	29,287
krl	Karelian	25,605
mrj	Mountain Mari	23,062
bul	Bulgarian	22,906
lav	Latvian	22,079
yrk	Nenet	21,926
ron	Romanian	21,201
mul	Other	20,580
heb	Hebrew	18,822
est	Estonian	15,583
ces	Czech	13,074
fas	Persian	13,073
ddo	Tsez	12,467
por	Portuguese	11,207
hbs/srp	Croato-Serbian	11,043
tkr	Tsakhur	10,596
mul	Dagestanian	10,228
vie	Vietnamese	10,148
kca	Khanty	9,584
mon	Mongolian	8,829
swe	Swedish	7,395
hun	Hungarian	6,888
abk	Abkhazian	6,786
hin	Hindi	6,331
kap	Bezhta	6,072
gag	Gagauz	5,917
heb	Jewish	5,820
ani	Andi	5,800
eve	Even	5,656
ckt	Chukchee	5,095
nor	Norwegian	4,928
evn	Evenk	4,802
pus	Pushtu	4,649
syr	Syrian	4,466
vep	Vepsish	3,613
tly	Talyshi	3,402
nld	Dutch	3,356
cjs	Shor	2,839
udi	Udi	2,266
tin	Tindal	2,152
trk	Turkic	2,025
mord1256/mdf	Moksa-mordvi	2,025
slv	Slovenian	2,023
ttt	Tat	2,012
khv	Khvarshin	1,737
yid	Yiddish	1,683
kpy	Koryak	1,665
xmf	Mingrelian	1,529
kva	Bagvalal	1,447
slk	Slovak	1,445
dan	Danish	1,419
gld	Nanai	1,347
msa/zlm/zsm	Malay	1,221
sqi	Albanian	1,209
nog/alab1256	Alabugat-Tatar	1,144
dlg	Dolgang	1,054
uig	Uighur	1,049
sel	Selkup	1,023
huz	Hunzib	1,012
epo	Esperanto	992
alt/tele1257	Teleut	975
aqc	Archin	970
prs	Dari	952
mns	Mansi	938
kaa	Kara-Kalpak	867
swa	Swahili	739
atv/kuma1284	Kumandinsky	738
tha	Thai	588
urd	Urdu	522
msa/ind	Indonesian	515
bod	Tibetan	513
ale	Eskimo	508
mkd	Macedonian	507
dng	Dungan	502
cji	Chamalal	500
ben	Bengali	393
tam	Tamil	388
yuka1259/ykg	Yukagir	370
smi/sme	Lappish	353
mya	Burmese	338
amh	Amharigna	311
atv/chel1242	Chelkansky	310
crh	Crimean Tatar	308
isl	Icelandic	233
atv/tuba1280	Tubalar	229
ket	Ket	213
ahk	Akha	210
gle	Irish	208
bph	Botlikh	206
niv	Nivkhi	198
mhr	Meadow-Eastern Mari	189
ulc	Olcha	154
gdo	Godoberi	128
nio	Nganasan	125
izh	Ingrian	123
ude	Udihe	103
kim	Tofalar	93
itl	Itelmen	82
neg	Negidalt	74
vot	Votic	68
oaa	Ujlta	47
ale	Aleutian	45
clw	Chulym-Turkic	44
enet1250/enf	Enets	43
alr	Aliutor	25
krk	Kerek	10
oac	Oroch	8
ysr	Sireniksky	5
orm	Oromo	4
ypk	Yuitsky	4
yug	Yugh	1
