#nameDisplay		Senegal 2013
#isoRegionCode		SN
#yearCollected		2013
#datePublished		2015
#populationEligible		13,023,489
#mode		Speaks
#acquisitionOrder		L1
#url		https://translatorswithoutborders.org/languages-of-senegal-interactive-en/
#collectorType		NGO
#collectorName		Translators Without Borders 
#notes		Senegal Population & Housing Census 2013 (RGPHAE 2013) by ANSD
iso code	Language	Speakers
wol	Wolof	6,550,815
ful/fuc	Pular	3,235,599
srr	Serer	1,447,079
dyo	Jola-Fony	461,281
mnk	Mandinka	348,079
snk	Soninke	134,322
mnk	Soce	127,022
bam	Bambara	120,035
lebu1234	Lebu Wolof	103,920
mfv	Mandjak	87,459
fra	French	76,211
bjt	Balanta-Ganja	70,942
jad	Jahanka	49,386
mis	Other	47,349
mane1267/mlq	Maninkakan	44,972
ara/mey	Hassaniya Arabic	40,220
knf	Mankanya	25,279
bcz	Bainouk	10,603
bsc	Oniyan	9,421
yal	Jalunga	9,168
pov	Casamance Creole	7,171
pbp	Badyara	6,243
sus	Susu	5,989
ful	Fulah	3,847
ara	Arabic	3,016
eng	English	2,938
tnr	Ménik	2,644
