Title	Local Title (formatted)	Status	Language	Script (ISO 15924 code)	WP code	Locale Code(s)	Articles	Active Users	URL
English Wikipedia	English Wikipedia	Active	English	Latn	en	eng	7,203,019	258,684	en.wikipedia.org
Cebuano Wikipedia	Wikipedya sa Sinugboanon	Active	Cebuano	Latn	ceb	ceb	6,115,343	235	ceb.wikipedia.org
German Wikipedia	Deutschsprachige Wikipedia	Active	German	Latn	de	deu	3,132,548	34,515	de.wikipedia.org
French Wikipedia	Wikipédia en français	Active	French	Latn	fr	fra	2,767,081	35,492	fr.wikipedia.org
Swedish Wikipedia	Svenskspråkiga Wikipedia	Active	Swedish	Latn	sv	swe	2,626,392	4,183	sv.wikipedia.org
Dutch Wikipedia	Nederlandstalige Wikipedia	Active	Dutch	Latn	nl	nld	2,222,009	8,422	nl.wikipedia.org
Russian Wikipedia	Русская Википедия (Russkaya Vikipediya)	Active	Russian	Cyrl	ru	rus	2,107,478	16,971	ru.wikipedia.org
Spanish Wikipedia	Wikipedia en español	Active	Spanish	Latn	es	spa	2,122,379	39,423	es.wikipedia.org
Italian Wikipedia	Wikipedia in italiano	Active	Italian	Latn	it	ita	1,975,881	27,379	it.wikipedia.org
Polish Wikipedia	Polskojęzyczna Wikipedia	Active	Polish	Latn	pl	pol	1,699,890	9,565	pl.wikipedia.org
Egyptian Arabic Wikipedia	ويكيپيديا مصرى (Wīkībīdiyā maṣri)	Active	Egyptian Arabic	Arab	arz	ara/arz	1,632,208	321	arz.wikipedia.org
Chinese Wikipedia	Traditional Chinese: 中文維基百科, simplified Chinese: 中文维基百科 (pinyin: Zhōngwén wéijī bǎikē)	Active	"Chinese (written vernacular Chinese)"	Hans/Hant	zh	zho/cmn	1,541,722	13,839	zh.wikipedia.org
Japanese Wikipedia	ウィキペディア日本語版 (Wikipedia nihongo-ban)	Active	Japanese	Jpan	ja	jpn	1,507,969	23,748	ja.wikipedia.org
Ukrainian Wikipedia	Українська Вікіпедія (Ukrainska Vikipediia)	Active	Ukrainian	Cyrl	uk	ukr	1,426,398	4,945	uk.wikipedia.org
Vietnamese Wikipedia	Wikipedia tiếng Việt	Active	Vietnamese	Latn	vi	vie	1,302,831	4,572	vi.wikipedia.org
Arabic Wikipedia	ويكيبيديا العربية (Wīkībīdiyā al-ʿarabiyya)	Active	Arabic	Arab	ar	ara/arb	1,322,069	6,001	ar.wikipedia.org
Waray Wikipedia	Waray Wikipedia	Active	Waray	Latn	war	war	1,266,914	72	war.wikipedia.org
