#codeDisplay		#fr-langname	axl.fj	#fr-ethnicity
#nameDisplay			AXL Fiji	
#isoRegionCode			FJ	
#yearCollected			2011	
#languageUse			Speaks	
#acquisitionOrder			L1	
#domain			Home	
#quantity			count	
#population			868,000	
#responsesPerIndividual			1	
#collectorType			Secondary	
#presentedBy			AXL	
#url			https://www.axl.cefan.ulaval.ca/pacifique/fidji.htm	
#dateAccessed			2026-08-11	
Language Code	Language	Langue	Population	Ethnie
fij	Fijian	fidjien	264000	Mélano-Fidjiens
hif	Fiji Hindi	hindo-fidjien	189000	Indo-Fidjiens
tam	Tamil	tamoul	75000	Tamouls
wyy	Western Fijian	fidjien occidental	56000	Fidjiens du Centre-Ouest
tel	Telugu	télougou	32000	Télougous
wyy	Western Fijian	fidjien occidental	27000	Nadroga
bho	Bhojpuri	bhojpouri	26000	Bhojpuri Bihari
guj	Gujarati	gujarati	24000	Gujarats
fij	Fijian	fidjien	22000	Fidjiens du Nord-Est de l'île
ben	Bengali	bengali	22000	Bengalis
llx	Lauan	lauan	21000	Lauan (Lau)
eng	English	anglais	17000	Euronésiens
fij	Fijian	fidjien	11000	Kadavu (Tavuki)
rtm	Rotuman	rotuman	11000	Rotumiens
pan	Eastern Punjabi	panjabi oriental	8700	Panjabi
eng	English	anglais	7300	Anglo-Australiens
pidg1237	Pidgin	pidgin	7000	Métis / Créole salomonais
gil	Gilbertese	gilbertin	6400	Gilbertins
zho	Chinese	chinois cantonais (mandarin)	5700	Chinois
urd	Urdu	ourdou	4400	Ourdous
eng	English	anglais	4300	Américains
fij	Fijian	fidjien	3600	Fidjiens du Centre de l'île Vanua Levu
fij	Fijian	fidjien	2700	Fidjien du Nord-Est de l'île Vanua Levu
fij	Fijian	fidjien	2700	Fidjiens du Sud-Est de l'île Vanua Levu
lmv	Lomaiviti	lomaiviti	1700	Insulaires de l'archipel de Lomaiviti
bwb	Namosi-Naitasari-Serua	namosi-naitasari-serua	1700	Namosi
ton	Tongan	tongien	1300	Tongiens
smo	Samoan	samoan	1200	Samoans
wls	Wallisian	wallisien	900	Wallisiens
goo	Gonedau	gonedau	800	Gonedauans
tvl	Tuvaluan	tuvaluan (tuvalien)	500	Tuvaluans
eng	English	anglais	500	Britanniques
kor	Korean	coréen	400	Coréens
mal	Malayalam	malayalam	400	Malayali
mul		-	9000	Autres ethnies
			868 000	Total
