#codeDisplay		axl.mm	#eth	#fr-name
#nameDisplay	AXL Myanmar			
#isoRegionCode	MM			
#yearCollected	2017			
#languageUse	Speaks			
#acquisitionOrder	L1			
#population	54,836,000			
#quantity	count			
#populationSource	https://www.axl.cefan.ulaval.ca/asie/birmanie.htm			
#responsesPerIndividual	1+			
#collectorType	Secondary			
#presentedBy	AXL			
#url	https://www.axl.cefan.ulaval.ca/asie/birmanie.htm			
#sectionName		2 Données démolinguistiques		
Language Code	Language	Population	Ethnie	Langue
mya	Burmese	31 542 000	Birman ou Bama	birman
shn	Shan	4 593 000	Shan	shan
rki	Arakanese/Rakhine	2 740 000	Arakanais ou Rakhine	arakanais
ksw	S'gaw Karen	1 969 000	Karène sgaw	karène sgaw
kjp	Pwo Eastern Karen 	1 187 000	Karène blanc	karène pwo
mnw	Mon (My)	1 160 000	Môn	môn
kac	Kachin	1 038 000	Kachin	kachin jingpho
zho/cmn	Mandarin Chinese	994 000	Chinois	chinois mandarin
blk	Karen Pa'O	858 000	Karène noir (Pa-O)	karène pao
rhg	Bengali Rohingya	842 000	Rohingya	bengali rohingya
tvn	Tavoyan	464 000	Tavoyan	tavoyan
wbm	Wa	464 000	Wa	wa
lis	Lisu	348 000	Lisu	lisu
nep/npi	Nepalese	299 000	Népalais	népalais
pce	Palaung	297 000	Palaung d'argent	palaung
ben	Bengali	286 000	Bengalais	bengali
ctd	Chin Tedim	256 000	Chin tedim	chin tedim
pll	Palaung (Shwe)	231 000	Palaung Doré	palaung (shwe)
lhu	Lahu	227 000	Lahu	lahu
ahk	Akha	223 000	Akha	akha
pwo	Karen Pwo Western	212 000	Karène pwo occidental	karène pwo occidental
rki/ccq	Chaungtha	186 000	Chaungtha	chaungtha
csh	Chin Asho	171 000	Asho khyang	chin asho
kyu	Karen Kayah Occidental	164 000	Karène kayah	karène kayah occidental
rmz	Palaung Rumai	158 000	Palaung rumai	palaung rumai
tam	Tamil	151 000	Tamoul	tamoul
pdu	Kayan	147 000	Kayan	kayan
tel	Telugu	140 000	Télougou	télougou
cnh	Chin Hakha	137 000	Chin haka	chin hakha
hin	Hindi	133 000	Hindi	hindi
kkh	Khun	132 000	Tai khun	khun
dnu	Danau	129 000	Danau	danau
ori/ory	Odia	122 000	Odia	odia
mhx	Lhao Vo	121 000	Lhao Vo	lhao vo
int/dnv	Danu	117 000	Danu	danu
tjl	Laing	116 000	Tai laing	laing
int	Intha	104 000	Intha	intha
tdd	Tai Nua	102 000	Tai nua	taï nua
mul	#Others	4		Autres langues
