#codeDisplay		axl.tg	#percent	#fr language names	#fr ethnicity categories
#nameDisplay		AXL Togo			
#isoRegionCode	TG				
#yearCollected		2014			
### Language Criteria ###					
#languageUse		Speaks			
#acquisitionOrder		L1			
#domain		Home			
### Population Surveyed ###					
#population		7,000,000			
#responsesPerIndividual		1			
### Data Constraints ###					
#quantity		count			
### Creator ###					
#collectorType		Secondary			
#presentedBy		AXL			
### Source Document ###					
#url		https://www.axl.cefan.ulaval.ca/afrique/togo.htm			
#datePublished		2023-12-19			
#dateAccessed		2026-05-13			
#documentName		Togo			
#sectionName		2.1 Les ethnies			
#tableName		Bibliographie sur le Togo et les langues nationales"			
#columnName		État fédéré; Superficie; Population			
#citation		Revue juridique et politique - Indépendance et coopération, Paris,			
					
Language Code		Population	Pourcentage	Language	Ethnie
ewe	Ewe	1477000	21,0 %	éwé	Éwé
kbp	Kabyè	1032000	14,7 %	kabyè	Kabyè
wci	Waci	740000	10,0 %	gbé (ouatchi)	Ouatchi
gej	Gen/Mina	413000	5,8 %	gen ou mina	Mina (Gen)
kdh	Tem	408000	5,8 %	tem	Tem (Kotokoli)
mfq	Moba (Ben)	379000	5,4 %	moba (ben)	Moba
gux	Gurmantche	248000	3,5 %	gourmantché	Gourma
las	Lama	235000	3,3 %	lama	Lama
kpo	Ikposso	196000	2,7 %	ikposso	Akposso
ajg	Aja	190000	2,7 %	aja	Aja
bud	Bassar (ntcham)	166000	2,3 %	bassar (ntcham)	Bassar (Ntcham)
nmz	Nawdum	161000	2,2 %	nawdum	Nawdum
ife	Ifè	129000	1,8 %	ifè	Ifè
yor	Yoruba	105000	1,4 %	yorouba	Yoruba
ful/fue	Peul/Fulfulde	95000	1,3 %	peul (fulfuldé)	Peuls (Fulfuldé)
xon	Konkomba	87000	1,2 %	konkomba	Konkomba
cko	Anoufo	73000	1,0 %	anoufo	Anoufo
keu	Kebou	71000	1,0 %	kébou	Kébou (akébou)
aka	Akan	70000	1,0 %	akan	Akan, Ashanti, Twi
fon	Fon	61000	0,8 %	fon	Fon
aks	Akaselem	60000	0,8 %	akaselem	Akasselem
gng	Ngangam	58000	0,8 %	ngangam	Gangam
xkb	Kambole	51000	0,7 %	kambolé	Kambolé
mxl	Maxi	44000	0,6 %	gbé (maxi)	Gbé
gaa	Ga	42000	0,5 %	ga	Ga (Amina)
tbz	Ditammari	40000	0,5 %	ditammari	Tamberma
mos	Mossi	34000	0,4 %	mossi (mooré)	Mossi
xwl	Xwla	27000	0,3 %	gbé (xwla)	Xwla
bba	Baatonum	21000	0,2 %	baatonum	Bariba
ade	Adele	20000	0,2 %	adele	Lolo, Adele
hau	Hausa	19000	0,2 %	haoussa	Haoussa
dop	Lukpa	18000	0,2 %	lukpa	Lukpa
wwa	Waama	18000	0,2 %	waama	Waama, Yoabu
ayg	Ginyanga	17000	0,2 %	ginyanga	Anyanga
blo	Anii	16000	0,2 %	anii	Anii
kus	Kusaal	14000	0,1 %	kusaal	Kusasi
maw	Mampruli	14000	0,1 %	mampruli	Mamprusi
bqg	Bago-kusuntu	11000	0,1 %	bago-kusuntu	Bago-Koussountou
dag	Dagbani	11000	0,1 %	dagbani	Dagomba
ahl	Igo	9500	0,1 %	igo	Bogo, Ahlon
ajg	Aja	8100	0,1 %	aja	Hwe
ntr	Delo	7700	0,1 %	delo	Ntrubo
ara/apc	Lebanese Arabic	7100	0,1 %	arabe libanais	Arabes libanais
lef	Lelemi	7000	0,1 %	lelemi	Buem, Lelemi
fra	French	5400	0,0 %	français	Français
bib	Bissa	5200	0,0 %	bissa	Bissa
kef	Kpessi	5100	0,0 %	kpessi	Kpessi
kye	Krache	4900	0,0 %	krache	Krache
cpe/pcm	Pidgin	3500	0,0 %	pidgin	Créoles togolais
soy	Miyobe	3000	0,0 %	miyobe	Piyobe
deu	German	2800	0,0 %	allemand	Métis
adq	Adangbe	2500	0,0 %	adangbe	Adan, Adangbe
wud	Woudo	2200	0,0 %	woudou	Woudou
	Others	62000	0,8 %		Autres
	Total 2014	7007000	100%		
