#codeDisplay		fk2006
#nameDisplay		Falkland Islands 2006
#isoRegionCode		FK
#yearCollected		2006
#datePublished		2010
#eligiblePopulation		2,955
#notes		Census - de facto - complete tabulation
#responsesPerIndividual		1
#url	https://data.un.org/Data.aspx?d=POP&f=tableCode:27	
#collectorType	Government	
Language Code	Language Name	fk2006
mul	Total	2,955
eng	English	2,629
spa	Spanish	227
deu	German	18
fra	French	15
rus	Russian	11
tgl	Tagalog	10
por	Portuguese	9
cym	Welsh	5
ind	Indonesian	4
mis	Luyanda	4
urd	Urdu	4
dan	Danish	3
nld	Dutch	2
kat	Georgian	2
ita	Italian	2
vls	Belgian	1
zho	Chinese	1
crp	Creole	1
hbs/hrv	Croatian	1
jpn	Japanese	1
msa	Malay	1
mul	Other African	1
pan	Punjabi	1
hbs/srp	Serbian	1
tur	Turkish	1
