#codeDisplay		hr2001	hr2011	hr2021
#nameDisplay		Croatia 2001	Croatia 2011	Croatia 2021
#isoRegionCode	HR			
#yearCollected		2001	2011	2021
#datePublished		2005	2014	2024
#eligiblePopulation		4,437,460	4,284,889	3,871,833
#notes	Census - de jure - complete tabulation			
#responsesPerIndividual	1			
#url	https://data.un.org/Data.aspx?d=POP&f=tableCode:27			
#collectorType	Government			
Language Code	Language Name	hr2001	hr2011	hr2021
mul	Total	4,437,460	4,284,889	3,871,833
hbs/hrv	Croatian	4,265,081	4,096,305	3,687,735
hbs/srp	Serbian	44,629	52,879	45,004
mis	Unknown	16,709	9,329	20,840
ita	Italian	20,521	18,573	12,890
hbs/bos	Bosnian		16,856	17,531
sqi	Albanian	14,621	17,069	13,503
rom	#Romani		14,369	15,269
hun	Hungarian	12,650	10,231	7,218
slv	Slovenian	11,872	9,220	7,620
mul	Other	2,824	5,367	9,910
hbs/bos	Bosniac	9,197		
hbs	Serbo-Croatian	4,961	7,822	8,182
hbs	Croato-Serbian		3,059	4,278
hbs	#Croato-Serbian or Serbo-croatian	2,054		
rom	Romany	7,860		
slk	Slovak	3,993	3,792	2,859
mkd	Macedonian	3,534	3,519	3,334
deu	German	3,013	2,986	3,358
rus	Russian	1,080	1,592	2,081
ces	Czech	7,178	6,292	4,915
rsk	Ruthenian	1,828	1,472	1,011
ron	Romanian	1,205	955	671
ukr	Ukrainian	1,027	1,008	1,198
hbs/cnr	Montenegrin	460	876	943
pol	Polish	536	639	730
tur	Turkish	347	342	368
bul	Bulgarian	265	293	263
heb	Hebrew	8	30	82
rup	Vlach	7	14	40
