#codeDisplay		#bs	ba2013eth
#nameDisplay			Bosnia & Herzegovina 2013 Ethnicity
#isoRegionCode	BA		
#yearCollected			2013
#languageUse			Ethnicity
#population			2,219,220
#responsesPerIndividual			1
#collectorType			Government
#collectorName			Agency for Statistics of Bosnia and Herzegovina
#url			https://fzs.ba/index.php/popis-stanovnistva/popis-stanovnistva-2013/konacni-rezultati-popisa-2013/
#documentName		KNJIGA 2 – ETNIČKANACIONALNA PRIPADNOST,VJEROISPOVJEST, MATERNJI JEZIK	NATIONALITY,RELIGION,LANGUAGE    
#tableName		1. STANOVNIŠTVO PREMA ETNIČKOJ/NACIONALNOJ PRIPADNOSTI - DETALJNA KLASIFIKACIJA	POPULATION BY ETHNIC/NATIONAL AFFILIATION - DETAILED CLASSIFICATION
#columnName		Etnička/nacionalna pripadnost  	Ethnic/national affiliation 
Language Code	Language Name		
hbs/bos	Bosniak	Bošnjak/Bošnjakinja	1,562,372
hbs/hrv	#Croat	Hrvat/Hrvatica	497,883
hbs/srp	Serbian	Srbin/Srpkinja	56,550
hbs/bos	Bosnian	Bosanac/Bosanka	35,687
mis	Does not declare	Ne izjašnjava se	18,344
hbs/bos	#Bosnian and Herzegovinian	Bosanac i Hercegovac/Bosanka i Hercegovka	11,160
mul	Muslim	Musliman/Muslimanka	10,222
rom	Roma	Rom/Romkinja	10,036
mul	Unknown	Nepoznato	4,233
sqi	Albanian	Albanac/Albanka	2,404
tur	Turkish	Turčin/Turkinja	1,097
hbs	Yugoslavian	Jugosloven/Jugoslovenka	881
hbs/cnr	Montenegrin	Crnogorac/Crnogorka	696
hbs/bos	Herzegovinian	Hercegovac/Hercegovka	458
slv	Slovenian	Slovenac/Slovenka	398
hbs/bos	#Bosnia and Herzegovina	Bosna i Hercegovina	349
mkd	Macedonian	Makedonac/Makedonka	301
mul	Other	Ostali	292
deu	German	Njemac/Njemica	249
mul	Unspecified	Neodređeno	247
hbs/bos	#Bosnian Muslim	Bosanac Musliman/Bosanka Muslimanka	228
heb	Jewish	Jevrej/Jevrejka	200
mul	Catholic	Katolik/Katolkinja	197
mul	Orthodox	Pravoslavac/Pravoslavka	191
hun	Hungarian	Mađar/Mađarka	169
hbs/hrv	#Bosnian Croat	Bosanac Hrvat/Bosanka Hrvatica	168
hbs/bos	#Citizen of Bosnia and Herzegovina	Građanin BiH/Građanka BiH	162
mul	Undecided	Neopredijeljen/Neopredijeljena	161
zho	Chinese	Kinez/Kineskinja	136
hbs/bos	#Muslim Bosnian	Musliman Bosanac/Muslimanka Bosanka	131
ita	Italian	Italijan/Italijanka	110
eng	#American	Amerikanac/Amerikanka	110
