#codeDisplay		#es	py.2022	py.2023	py.2024	#py.2012.samples	py.2012	#py.2012.samples.L1	#py.2012.samples.L2	#py.2012.samples.L3	py.2012.L1	py.2012.L2	py.2012.L3
#nameDisplay			Paraguay 2022	Paraguay 2023	Paraguay 2024	Paraguay 2012 Samples	Paraguay 2012	Paraguay 2012 L1 samples	Paraguay 2012 L2 samples	Paraguay 2012 L3 samples	Paraguay 2012 L1	Paraguay 2012 L2	Paraguay 2012 L3
#isoRegionCode	PY												
#yearCollected			2022	2023	2024	2012	2012	2012	2012	2012	2012	2012	2012
#acquisitionOrder			Any	Any	Any	Any	Any	L1	L2	L3	L1	L2	L3
#domain													
#populationEligible			5363287.472	5406365.994	5449445.022		5720289				5720289	5720289	5720289
#populationSource							https://www.ine.gov.py/assets/documento/39/Otros%20temas%20sociales_idioma_py_EPH_1997-98_2022.xls				https://www.ine.gov.py/assets/documento/39/Otros%20temas%20sociales_idioma_py_EPH_1997-98_2022.xls	https://www.ine.gov.py/assets/documento/39/Otros%20temas%20sociales_idioma_py_EPH_1997-98_2022.xls	https://www.ine.gov.py/assets/documento/39/Otros%20temas%20sociales_idioma_py_EPH_1997-98_2022.xls
#populationSurveyed						96738	96738	96738	96689	51368	96738	96689	51368
#age	5+												
#quantity			percent	percent	percent	count	percent	count	count	count	percent	percent	percent
#responsesPerIndividual	1					1+	1+						
#collectorType	Government												
#collectorName	Instituto Nacional de Estadística												
#collectorNameShort	INE Paraguay												
#url			https://www.ine.gov.py/assets/documento/24/Educaci%C3%B3n_Idioma%20hablado_dpto_EPHC%202022-2024.xlsx	https://www.ine.gov.py/assets/documento/24/Educaci%C3%B3n_Idioma%20hablado_dpto_EPHC%202022-2024.xlsx	https://www.ine.gov.py/assets/documento/24/Educaci%C3%B3n_Idioma%20hablado_dpto_EPHC%202022-2024.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx	https://www.ine.gov.py/assets/documento/70d0eCuadro%20P9.%20Poblacion%20de%205%20anos%20y%20mas,%20segun%20idioma%20o%20lengua%20que%20hablan_Departamental_2012.xlsx
#dateAccessed	2026-04-02												
#tableName			Población de 5 y más años de edad por año de la encuesta, según departamento e idioma hablado la mayor parte del tiempo en el hogar (%). Años 2022-2024	Población de 5 y más años de edad por año de la encuesta, según departamento e idioma hablado la mayor parte del tiempo en el hogar (%). Años 2022-2024	Población de 5 y más años de edad por año de la encuesta, según departamento e idioma hablado la mayor parte del tiempo en el hogar (%). Años 2022-2024	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.	Paraguay: Población indígena de 5 años y más de edad por  sexo, según departamento e idioma o lengua que hablan las personas, 2012.
#columnName			2022	2023	2024			1° Idioma o lengua	2° Idioma o lengua	3° Idioma o lengua			
#citation						Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    	Fuente: DGEEC. III Censo Nacional de Población y Viviendas para Pueblos Indígenas 2012    
#notes						added together from other data	relative to total number of samples	count of sampled population	count of sampled population	count of sampled population	relative to total number of samples	relative to total number of samples	relative to total number of samples
Language Code	Language	Language (Spanish)											
mul	#	Total	100	99.9988934	100	96738	100.00%	96738	96689	51368	100.00%	100.00%	100.00%
grn/gug	#	Guaraní	34.41236867	31.5958452	30.02668022	64765	66.95%	47268	15026	2471	48.86%	15.54%	4.81%
grn/gug/spa	#	Guaraní y Castellano	33.6709091	36.58594915	38.64922083								
spa	#	Castellano	29.18967658	29.04650149	28.53389142	30413	31.44%	1597	24256	4560	1.65%	25.09%	8.88%
por	#	Portugués				3372	3.49%	74	1690	1608	0.08%	1.75%	3.13%
deu	#	Alemán				275	0.28%	9	89	177	0.01%	0.09%	0.34%
guq	Ache	Ache				1460	1.51%	1238	198	24	1.28%	0.20%	0.05%
nhd	Ava Guaraní	Ava Guaraní				976	1.01%	656	234	86	0.68%	0.24%	0.17%
gun	Mbya Guaraní	Mbya Guaraní				9040	9.34%	6222	2691	127	6.43%	2.78%	0.25%
pta	Paĩ Tavyterã	Paĩ Tavyterã				8012	8.28%	4663	3025	324	4.82%	3.13%	0.63%
gnw	Western Guarani	Guaraní Occidental				797	0.82%	647	103	47	0.67%	0.11%	0.09%
gui	Guaraní Ñandéva	Guaraní Ñandéva				1923	1.99%	1748	100	75	1.81%	0.10%	0.15%
enl	Enlhet Norte	Enlhet Norte				7798	8.06%	7185	439	174	7.43%	0.45%	0.34%
enx	Enxet Sur	Enxet Sur				4581	4.74%	3012	1257	312	3.11%	1.30%	0.61%
spn	Sanapaná	Sanapaná				1538	1.59%	1017	405	116	1.05%	0.42%	0.23%
aqt	Angaité	Angaité				1045	1.08%	239	658	148	0.25%	0.68%	0.29%
gva	Guaná	Guaná				16	0.02%	2	11	3	0.00%	0.01%	0.01%
tmf	Toba Maskoy	Toba Maskoy				1631	1.69%	1287	252	92	1.33%	0.26%	0.18%
cag	Nivaclé	Nivaclé				13169	13.61%	12572	408	189	13.00%	0.42%	0.37%
mca	Maká	Maká				1643	1.70%	1533	91	19	1.58%	0.09%	0.04%
crq/manj1251	Manjui	Manjui				540	0.56%	457	69	14	0.47%	0.07%	0.03%
ayo	Ayoreo	Ayoreo				2213	2.29%	2181	29	3	2.25%	0.03%	0.01%
ceg/ebit1237	Ybytoso	Ybytoso				1700	1.76%	1534	105	61	1.59%	0.11%	0.12%
ceg/cham1316	Tomárãho	Tomárãho				145	0.15%	127	3	15	0.13%	0.00%	0.03%
tob	Qom	Qom				1579	1.63%	1364	162	53	1.41%	0.17%	0.10%
mul	#	Otro Idioma	2.72704565	2.770597552	2.790207534	50	0.05%	3	13	34	0.00%	0.01%	0.07%
und	#	Ningún otro idioma						0	45321	40582	0.00%	46.87%	79.00%
zxx	#	No Habla				49	0.05%	49	0	0	0.05%	0.00%	0.00%
und	#	No reportado	0	0	0	54	0.06%	54	54	54	0.06%	0.06%	0.11%
