#codeDisplay		us.2000	us.asc.2008	us.asc.2013	us.asc.2021.1	#us.asc.2021.1.moe	us.asc.2021.2	#us.asc.2021.2.moe
#nameDisplay		US 2000	US ASC 2008	US ASC 2013	US ASC 2021	US ASC 2021 Margin of error	US ASC 2021 Speaks English less than "Very well"	US ASC 2021 Speaks English less than "Very well" margin of error
#isoRegionCode	US							
#yearCollected		2000	2008	2013	2021	2021	2021	2021
#url		https://www.census.gov/data/tables/2000/dec/stp-224.html	https://www.census.gov/data/tables/2008/demo/2006-2008-lang-tables.html	https://www.census.gov/data/tables/2013/demo/2009-2013-lang-tables.html	https://www.census.gov/data/tables/time-series/demo/language-use/2017-2021-lang-tables.html	https://www.census.gov/data/tables/time-series/demo/language-use/2017-2021-lang-tables.html	https://www.census.gov/data/tables/time-series/demo/language-use/2017-2021-lang-tables.html	https://www.census.gov/data/tables/time-series/demo/language-use/2017-2021-lang-tables.html
#tableName		Language Spoken at Home for the Population 5 Years and Over: 2000	Detailed Language Spoken at Home and Ability to Speak English for the Population 5 Years and Older by States: 2006-2008	Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over: 2009-2013	Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021	Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021	Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021	Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021
#columnName		Number of speakers	Number of speakers	Number of speakers	Number of speakers	Margin of error	Speak English less than “very well”	Margin of error
#datePublished	October 2015							
#collectorName	United States Census Bureau							
#collectorType	Government							
#geographicScope								
#age	5+							
#gender	Any							
#modality	Spoken							
#proficiency	Conversant or Learning							
#acquisitionOrder	L1							
#domain	Home							
#responsesPerIndividual	1+							
#eligiblePopulation		262,375,152	280,564,877	291,484,482	310,300,000	310,300,000	310,300,000	310,300,000
#notes								
Language Code	Language Name from Source		US ASC 2008	US ASC 2013	US ASC 2021	US ASC 2021 Margin of error	US ASC 2021 Speaks English less than "Very well"	US ASC 2021 Speaks English less than "Very well" margin of error
mul	Population 5 years and over	262,375,152	280,564,877	291,484,482	310,300,000	4,330	25,540,000	112,900
eng	#English (L1 or L2)	241,054,745	256,312,448	266,335,582	284,760,000			
mul	Speak English less than “very well”	21,320,407	24,252,429	25,148,900	25,540,000	112,900		
#eng	#Speak only English at home	215,423,557	225,488,799	231,122,908	243,100,000	183,200		
mul	Speak a language other than English at home	46,951,595	55,076,078	60,361,574	67,200,000	183,000	25,540,000	112,900
#ine	INDO-EUROPEAN LANGUAGES				52,680,000	159,300	19,580,000	97,420
mul	OTHER INDO-EUROPEAN LANGUAGES		10,347,377	10,737,607				
cpf	French Creole	453,370	621,135	739,725	868,100	15,050	328,600	7,342
acf	Saint Lucian Creole French				528	223	157	96
hat	Haitian		621,135	739,725	867,500	15,060	328,500	7,343
gmw	West Germanic languages				1,426,000	11,780	295,400	5,554
high1289	German (incl. Luxembourgian)		1,120,670	1,063,773	871,300	9,328	127,800	3,112
deu	German	1,382,615	1,119,963	1,063,275	847,700	9,528	121,500	3,204
bar	Bavarian	83,720			962	250	192	118
nds	Low German				3,674	504	1,305	361
pdt	Plautdietsch				301	182	128	97
swg	Swabian				220	151	97	77
gsw	Swiss German				17,720	1,874	4,370	933
ltz	Luxembourgian	830	707	500	420	158	111	71
mul	Other German languages				256	135	118	73
pdc	Pennsylvania Dutch		117,547	133,190	185,200	5,280	56,570	2,392
yid	Yiddish	178,945	162,511	155,582				
yid/yih	Yiddish				157	148	68	90
yid/ydd	Eastern Yiddish				194,800	5,399	83,260	3,236
mul	Other West Germanic languages		269,600	298,287				
nld	Dutch	150,485	132,191	141,580	137,000	4,200	24,160	1,640
vls	Vlaams				3,957	744	290	161
afr	Afrikaans	16,010	18,943	23,010	32,030	1,925	3,108	586
fry	Frisian	920	919	510	409	168	61	43
sco	Scots				966	292	87	62
gmq	Scandinavian languages		132,956	128,339	117,100	3,848	10,690	1,031
swe	Swedish	67,655	56,713	55,735	55,580	2,966	4,474	545
dan	Danish	33,395	29,728	28,285	26,890	1,755	2,509	528
nor	Norwegian	55,465	41,197	39,430	28,310	1,670	2,998	631
isl	Icelandic	5,660	5,170	4,865				
fao	Faroese	70	148	30				
isl	#Other Scandinavian languages including Icelandic				6,366	1,175	707	298
mul	Belgium N.E.C.*				400	128	59	37
roa	Romance languages				43,940,000	120,700	16,830,000	84,680
itc	Italian				547,500	8,333	136,000	3,723
ita	Italian	1,008,370	807,010	708,966	543,300	8,233	134,800	3,698
scn	Sicilian				3,790	534	1,035	266
mul	Other Italian languages				390	166	156	94
macr1273	French (incl. Patois, Cajun)		1,358,816	1,307,742	1,210,000	13,230	258,900	5,978
fra	French	1,606,790	1,304,758	1,253,560	1,194,000	13,290	257,000	6,026
less1242	Patois	19,795	28,475	32,900				
frc	Cajun	17,240	25,583	21,285				
frc	#Other French languages including Cajun French				15,930	1,096	1,897	369
cast1243	#SPANISH AND SPANISH CREOLE		34,183,747	37,458,624	41,160,000	116,400	16,080,000	81,910
spa	Spanish	28,100,725	34,183,622	37,458,470	41,160,000	116,400	16,080,000	81,910
lad	Ladino	320	125	130				
mis	Pachuco			small number				
cat	Catalonian	1,660	1,917	2,325				
macr1272	Portuguese (incl. Portuguese Creole)		678,334	693,469	868,900	13,610	309,100	7,843
kea	Kabuverdianu				27,450	2,048	11,050	1,163
por	Portuguese	563,835	676,963	692,500	841,300	13,600	297,900	7,779
mul	Other Portuguese languages				196	120	136	110
ron	Romanian	114,840	146,840	154,625	176,800	4,965	50,180	2,191
roh	Rhaeto-Romanic	100	39	small number				
mul	Other Romance languages				4,176	650	777	234
cel	Celtic languages				19,150	1,285	2,569	597
bre	Breton	45						
cym	Welsh	2,655	2,452	2,235	2,003	417	103	47
gle	Irish Gaelic	25,870	22,279	20,590	16,550	1,246	2,358	570
gla	Scottic Gaelic	1,605	1,445	1,635				
mul	Other Celtic languages				595	176	108	78
ell	Greek/Modern Greek	365,435	340,028	304,932	262,600	6,169	58,840	2,180
sqi	Albanian/Albanian languages	79,515	125,220	133,870	163,000	6,366	64,340	3,298
sla	Slavic languages				2,121,000	19,020	815,700	9,923
rus	Russian	706,240	846,233	879,434	984,000	11,410	410,500	6,828
bel	Bielorussian	2,360	1,363	1,805	3,809	917	2,169	677
ukr	Ukrainian	129,180	142,711	152,325	184,000	5,419	83,410	3,127
ces	Czech	70,500	55,382	47,385	43,670	2,104	9,863	941
slk	Slovak	41,300	32,227	27,930	22,470	1,810	4,776	721
pol	Polish	667,415	632,362	580,153	529,300	8,117	195,600	3,904
wen	Lusatian	250	189	small number				
bul	Bulgarian	28,565	57,016	57,785	71,460	3,491	19,040	1,305
mkd	Macedonian	19,165	22,134	22,885	23,540	1,563	6,746	753
mul	Serbo-Croatian languages		273,729	267,979				
hbs	#Serbocroatian (not subdivided)		152,331	144,675				
hbs	#Serbo-Croatian (as a distinct language)	130,100			19,040	1,593	6,995	1,010
bos	Bosnian				107,000	4,450	41,280	2,410
hrv	Croatian	58,390	57,565	53,040	46,960	2,543	12,230	995
srp	Serbian	45,375	63,833	70,260	80,360	3,825	22,050	1,801
slv	Slovene	9,760	7,029	6,370	4,997	642	934	258
mul	Other Slavic languages		318,051	316,501	578	289	191	138
bat	Baltic languages				48,090	2,686	12,090	1,202
lit	Lithuanian	38,300	42,306	39,790	36,030	2,329	9,967	1,136
lav	Latvian/Lettish	19,845	16,149	16,035				
lav	#Other Baltic languages including Standard Latvian				12,060	1,145	2,127	437
hye	Armenian	202,710	220,922	237,840	241,600	6,253	98,010	3,203
iir	Indo-Iranian languages				3,451,000	32,710	1,056,000	13,630
fas	Persian	312,085	359,176	391,113	449,100	8,957	163,700	4,632
#fas	Persian				253	93	123	83
prs	Dari				34,640	2,722	16,930	1,698
pes	Iranian Persian				410,700	8,786	144,600	4,481
