#nameDisplay		Afghanistan 2014
#isoRegionCode		AF 
#yearCollected		2014
#datePublished		2014
#populationEligible		31,000,000
#mode		Speaks
#url		https://www.languagesgulper.com/eng/Languages_of_Afghanistan.html
#collectorType		Media
#collectorName		The Language Gulper
#author		Alejandro Gutman and Beatriz Avanzati
Language Code	Language	Population
pus	Pashto	13,000,000
fas/prs	Dari	9,000,000
uzb/uzs	Uzbek	2,800,000
haz	Hazaragi	2,500,000
tuk	Turkmen	1,550,000
aiq	Aymaq	960,000
brh	Brahui	200,000
bal	Balochi	400,000
pash1270	Pashayi	434,000
ask	Ashkun	40,000
sgh	Shughni	40,000
xvi	Kamviri	18,000
bsh	Kati	15,000
wbk	Waigali	11,500
gwt	Gawarbatí	8,000
prn	Prasuni	8,000
mnj	Munji	5,300
nli	Grangali	5,000
wrd	Warduji	5,000
prc	Parachi	3,500
trm	Tregami	3,500
sdg	Savi	3,000
isk	Ishkashimi	2,500
sgy	Sanglechi	2,200
gju	Gujari	2,000
sts	Shumashti	1,000
kir	Kirghiz	750
oru	Ormuri	50
