#codeDisplay		ao.afrobaro.r9	bj.afrobaro.r9	bw.afrobaro.r9	bf.afrobaro.r9	cv.afrobaro.r9	cm.afrobaro.r9	cg.afrobaro.r9	ci.afrobaro.r9	et.afrobaro.r9	sz.afrobaro.r9	ga.afrobaro.r9	gm.afrobaro.r9	gh.afrobaro.r9	gn.afrobaro.r9	ke.afrobaro.r9	ls.afrobaro.r9	lr.afrobaro.r9	mg.afrobaro.r9	mw.afrobaro.r9	ml.afrobaro.r9	mr.afrobaro.r9	mu.afrobaro.r9	ma.afrobaro.r9	mz.afrobaro.r9	na.afrobaro.r9	ne.afrobaro.r9	ng.afrobaro.r9	st.afrobaro.r9	sn.afrobaro.r9	sc.afrobaro.r9	sl.afrobaro.r9	za.afrobaro.r9	sd.afrobaro.r9	tz.afrobaro.r9	tg.afrobaro.r9	tn.afrobaro.r9	ug.afrobaro.r9	zm.afrobaro.r9	zw.afrobaro.r9
#nameDisplay		Angola Afrobarometer Round 9 (2021/2023)	Benin Afrobarometer Round 9 (2021/2023)	Botswana Afrobarometer Round 9 (2021/2023)	Burkina Faso Afrobarometer Round 9 (2021/2023)	Cabo Verde Afrobarometer Round 9 (2021/2023)	Cameroon Afrobarometer Round 9 (2021/2023)	Congo Afrobarometer Round 9 (2021/2023)	Côte d´Ivoire Afrobarometer Round 9 (2021/2023)	Ethiopia Afrobarometer Round 9 (2021/2023)	Eswatini Afrobarometer Round 9 (2021/2023)	Gabon Afrobarometer Round 9 (2021/2023)	Gambia Afrobarometer Round 9 (2021/2023)	Ghana Afrobarometer Round 9 (2021/2023)	Guinea Afrobarometer Round 9 (2021/2023)	Kenya Afrobarometer Round 9 (2021/2023)	Lesotho Afrobarometer Round 9 (2021/2023)	Liberia Afrobarometer Round 9 (2021/2023)	Madagascar Afrobarometer Round 9 (2021/2023)	Malawi Afrobarometer Round 9 (2021/2023)	Mali Afrobarometer Round 9 (2021/2023)	Mauritania Afrobarometer Round 9 (2021/2023)	Mauritius Afrobarometer Round 9 (2021/2023)	Morocco Afrobarometer Round 9 (2021/2023)	Mozambique Afrobarometer Round 9 (2021/2023)	Namibia Afrobarometer Round 9 (2021/2023)	Niger Afrobarometer Round 9 (2021/2023)	Nigeria Afrobarometer Round 9 (2021/2023)	Sao Tome and Principe Afrobarometer Round 9 (2021/2023)	Senegal Afrobarometer Round 9 (2021/2023)	Seychelles Afrobarometer Round 9 (2021/2023)	Sierra Leone Afrobarometer Round 9 (2021/2023)	South Africa Afrobarometer Round 9 (2021/2023)	Sudan Afrobarometer Round 9 (2021/2023)	Tanzania Afrobarometer Round 9 (2021/2023)	Togo Afrobarometer Round 9 (2021/2023)	Tunisia Afrobarometer Round 9 (2021/2023)	Uganda Afrobarometer Round 9 (2021/2023)	Zambia Afrobarometer Round 9 (2021/2023)	Zimbabwe Afrobarometer Round 9 (2021/2023)
#isoRegionCode		AO	BJ	BW	BF	CV	CM	CG	CI	ET	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NE	NG	ST	SN	SC	SL	ZA	SD	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2023																																							
#mode	Speaks																																							
#domain	Home																																							
#populationEligible		36128000	13531000	2653000	22960000	596000	28277000	6038000	28511000	124937000	1206000	2413000	2739000	33797000	14024000	54555000	2317000	5360000	29963000	20664000	22939000	4799000	1300000	37651000	33421000	2585000	26696000	221154000	230000	17536000	107000	8698000	60141000	47487000	66456000	8951000	12404000	47915000	20290000	16488000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																							
#populationSurveyed		1,200	1,200	1,200	1,200	1,199	1,200	1,200	1,200	2,400	1,200	1,200	1,200	2,369	1,200	2,400	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,120	1,200	1,200	1,600	1,200	1,200	1,176	1,200	1,580	1,200	2,400	1,200	1,200	3,393	1,200	1,200
#nationality	citizens																																							
#quantity	percent																																							
#responsesPerIndividual	1																																							
#collectorType	NGO																																							
#collectorName	Afrobarometer																																							
#url	https://www.afrobarometer.org/online-data-analysis/																																							
#dateAccessed	2026-02-23																																							
#documentName	Afrobarometer (R9 2021/2023)																																							
#tableName	What is the primary language you speak in your home?																																							
#notes	From a compliation of other reports, years 2021 and 2023																																							
Language Code	Language Name	Angola	Benin	Botswana	Burkina Faso	Cabo Verde	Cameroon	Congo	Côte d´Ivoire	Ethiopia	Eswatini	Gabon	Gambia	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	South Africa	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
fra	French		4.6		5.8		49.2	50.9	39.3			73.0			2.4						0.4	0.2	1.7	0.9			1.2			2.3	0.5					5.8	0.2			
por	Portuguese	81.5				0.3																			34.3	0.6			99.4											0.0
eng	English			2.3			16.4			0.0	8.4	0.1	2.9	3.0		3.4	0.1	13.7		0.5			0.3			10.0		7.2			6.1	0.6	22.0	0.6				2.6	3.5	0.9
kea	Creole					99.7																																		
sot	Sesotho																99.5																							
ara/apd	Sudanese Arabic																																	98.0						
mfe	Créole																						98.0																	
swa/swh	Swahili															27.1									0.1										70.4			0.3		
ara/aeb	Tunisian Arabic																																				93.3			
crs	Creole																														93.3									
ara/mey	Arabe / Hassaniya																					92.2																		
ssw	Hhohho										91.3																													
tsn	Setswana			82.3																																				
ara/ary	Moroccan Arabic																							81.7																
nya/chew1246	Chichewa																			72.4																				
sna	Shona																																							66.1
hau	Haoussa																										65.6													
bam	Bambara																				60.3																			
wolo1247/wol	Wolof / Lebou																													57.0										
mos	Mooré				54.8																																			
aka	Akan													54.3																										
mlg	#Malagasy avec spécificité régionale																		53.7																					
mul	Other	0.1	0.4		2.9			1.6	4.6	2.3			1.3	3.4		0.6			0.2	0.1	0.0		0.1	0.2	3.1	2.7		13.1		1.7	0.1		0.1	0.4	4.9	3.3		1.5	0.9	
ndon1253	Oshiwambo (Oshindonga/Oshikwanyama)																									47.0														
mlg	#Malagasy officiel																		46.2																					
fon	Fongbé		43.4																																					
mnk	Mandinka												40.1																											
amh	Amharic									37.9																														
bem	Bemba																																						36.9	
ewe	Ewé																																			36.9				
lir	Liberian English																	35.1																						
kri	Krio																															33.5								
ful	Poular														33.3																									
hau	Hausa																											31.5												
orm	Afan Oromo									29.1																														
men	Mende																															28.2								
lug	Luganda																																					25.2		
man	Maninka														24.3																									
zul	Zulu																																22.2							
mkw	Kituba							21.9																																
lin	Lingala							21.7																																
sus	Soussou														21.6																									
vmw	Makua																								21.1															
wol	Wolof												20.6																											
temn1245	Themne																															20.2								
ful	Fula												18.6																											
ful/fuc	Pulaar/Toucouleur																													18.5										
yor	Yoruba																											17.2												
nya/nucl1395	Nyanja																																						16.4	
dje	Zarma/Songhay																										16.2													
ber/tzm	Amazigh																							14.6																
nde	Ndebele																																							14.6
bci	Baoulé								13.4																															
kik	Kikuyu															13.3																								
naq	Nama/Damara																									13.2														
kbp	Kabyè																																			13.0				
ibo	Igbo																											12.9												
kpe	Kpelle																	12.6																						
dyu	Malinké / Dioula								12.5																															
ajg	Ajagbé		12.3																																					
xog	Lusoga																																					12.3		
suk	Kisukuma																																		11.9					
toi	Tonga																																						11.9	
ful	Fufuldé						11.6																																	
ewe	Ewe/Anlo													11.3																										
taq	Tamasheq																										11.1													
xho	Xhosa																																10.4							
yor	Yoruba		10.3																																					
afr	Afrikaans																																10.1							
srr	Serer																													10.1										
tum	Chitumbuka																			10.1																				
nyn	Runyankore																																					10.0		
luy	Luhya															9.5																								
bba	Baatonum		9.1																																					
jola1264	Jola												9.1																											
kln	Kalenjin															8.7																								
fan	Fang											8.4																												
teo	Ateso																																					8.3		
tsn	Tswana																																8.3							
nso	Pedi																																7.9							
luo	Luo															7.8																								
sot	Sotho																																7.8							
ddn	Dendi		7.6																																					
her	Otjiherero																									7.6														
kam	Kamba															7.5																								
mxc	Manyika																																							7.4
tso	Changana																								7.4															
yao	Chiyao																			7.4																				
gada1257	Ga/Dangbe													7.0																										
kdh	Tem; Kotokoli																																			7.0				
mfq	Ben; Moba																																			7.0				
ful/fuc	Pular																					6.8																		
afr	Afrikaans																									6.5														
ful	Fulfuldé		6.4																																					
snk	Soninké / Sarakollé																				6.4																			
son	Sonrhaï																				6.4																			
lag	Langi																																					6.3		
seh	Sena																								6.3															
ara	Arabic																				0.1																6.1			
tir	Tigirigna									6.2																														
gux	Gulmacema				6.1																																			
kro/grb	Grebo																	6.1																						
nya/chew1246	Chichewa																								6.1															
dogo1299	Dogon																				6.0																			
senu1239	Sénoufo								6.0																															
dnj	Gio																	5.6																						
umb	Umbundu	5.6																																						
som	Somaligna									5.5																														
cjk	Chokwe	5.4																																						
dag	Dagbani													5.4																										
kro/bsq	Bassa																	5.4																						
man	Malinké																				5.4																			
ngl	Lomue																								5.4															
nyo	Runyoro																																					5.3		
puu	Punu/Mériè											5.3																												
kqs	Kissié														5.2																									
senu1239/myk	Minianka																				5.1																			
snk	Serahule												5.1																											
cgg	Rukiga																																					5.0		
kpe	Kpèlè														5.0																									
kck	Ikalanga/Sekalaka			4.9																																				
tbz	Ditamari		4.9																																					
mer	Meru/Embu															4.7																								
dnj	Yacouba								4.6																															
dga	Dagaare/Waale													4.5																										
loz	Lozi																																						4.4	
ach	Acholi																																					4.2		
ful	Fulfuldé																										4.2													
lgg	Lugbara																																					4.2		
