#codeDisplay		ao.afrobaro.r10	bj.afrobaro.r10	bw.afrobaro.r10	cv.afrobaro.r10	cm.afrobaro.r10	td.afrobaro.r10	km.afrobaro.r10	cg.afrobaro.r10	ci.afrobaro.r10	sz.afrobaro.r10	ga.afrobaro.r10	gm.afrobaro.r10	gh.afrobaro.r10	gn.afrobaro.r10	ke.afrobaro.r10	ls.afrobaro.r10	lr.afrobaro.r10	mg.afrobaro.r10	mw.afrobaro.r10	ml.afrobaro.r10	mr.afrobaro.r10	mu.afrobaro.r10	ma.afrobaro.r10	mz.afrobaro.r10	na.afrobaro.r10	ng.afrobaro.r10	st.afrobaro.r10	sn.afrobaro.r10	sc.afrobaro.r10	sl.afrobaro.r10	za.afrobaro.r10	tz.afrobaro.r10	tn.afrobaro.r10	ug.afrobaro.r10	zm.afrobaro.r10	zw.afrobaro.r10
#nameDisplay		Angola Afrobarometer Round 10 (2024/2025)	Benin Afrobarometer Round 10 (2024/2025)	Botswana Afrobarometer Round 10 (2024/2025)	Cabo Verde Afrobarometer Round 10 (2024/2025)	Cameroon Afrobarometer Round 10 (2024/2025)	Chad Afrobarometer Round 10 (2024/2025)	Comoros Afrobarometer Round 10 (2024/2025)	Congo Afrobarometer Round 10 (2024/2025)	Côte d´Ivoire Afrobarometer Round 10 (2024/2025)	Eswatini Afrobarometer Round 10 (2024/2025)	Gabon Afrobarometer Round 10 (2024/2025)	Gambia Afrobarometer Round 10 (2024/2025)	Ghana Afrobarometer Round 10 (2024/2025)	Guinea Afrobarometer Round 10 (2024/2025)	Kenya Afrobarometer Round 10 (2024/2025)	Lesotho Afrobarometer Round 10 (2024/2025)	Liberia Afrobarometer Round 10 (2024/2025)	Madagascar Afrobarometer Round 10 (2024/2025)	Malawi Afrobarometer Round 10 (2024/2025)	Mali Afrobarometer Round 10 (2024/2025)	Mauritania Afrobarometer Round 10 (2024/2025)	Mauritius Afrobarometer Round 10 (2024/2025)	Morocco Afrobarometer Round 10 (2024/2025)	Mozambique Afrobarometer Round 10 (2024/2025)	Namibia Afrobarometer Round 10 (2024/2025)	Nigeria Afrobarometer Round 10 (2024/2025)	Sao Tome and Principe Afrobarometer Round 10 (2024/2025)	Senegal Afrobarometer Round 10 (2024/2025)	Seychelles Afrobarometer Round 10 (2024/2025)	Sierra Leone Afrobarometer Round 10 (2024/2025)	South Africa Afrobarometer Round 10 (2024/2025)	Tanzania Afrobarometer Round 10 (2024/2025)	Tunisia Afrobarometer Round 10 (2024/2025)	Uganda Afrobarometer Round 10 (2024/2025)	Zambia Afrobarometer Round 10 (2024/2025)	Zimbabwe Afrobarometer Round 10 (2024/2025)		#isoRegionCode		AO	BJ	BW	CV	CM	TD	KM	CG	CI	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NG	ST	SN	SC	SL	ZA	TZ	TN	UG	ZM	ZW
#isoRegionCode		AO	BJ	BW	CV	CM	TD	KM	CG	CI	SZ	GA	GM	GH	GN	KE	LS	LR	MG	MW	ML	MR	MU	MA	MZ	NA	NG	ST	SN	SC	SL	ZA	TZ	TN	UG	ZM	ZW		
#yearCollected	2025																																				
#mode	Speaks																																				
#domain	Home																																				
#populationEligible		38369000	14266000	2742000	607000	29771000	19135000	875000	6314000	29971000	1228000	2509000	2876000	35108000	14700000	56760000	2369000	5597000	31425000	21753000	24383000	5060000	1303000	38394000	35343000	2668000	231849000	239000	18453000	109000	9072000	61352000	70418000	12616000	50599000	21420000	17198000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																				
#populationSurveyed		1,200	1,200	1,200	1,200	1,200	1,128	1,200	1,200	1,200	1,200	1,200	1,200	2,400	1,200	2,400	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,200	1,199	1,200	1,600	1,200	1,200	1,200	1,200	1,600	2,400	1,200	2,400	1,200	1,200
#nationality	citizens																																				
#quantity	percent																																				
#responsesPerIndividual	1																																				
#collectorType	NGO																																				
#collectorName	Afrobarometer																																				
#url	https://www.afrobarometer.org/online-data-analysis/																																				
#dateAccessed	2026-03-05																																				
#documentName	Afrobarometer (R10 2024/2025)																																				
#tableName	What is the primary language you speak in your home?																																				
#notes	From a compliation of other reports, years 2024 and 2025																																				
Language Code	Language Name	Angola	Benin	Botswana	Cabo Verde	Cameroon	Chad	Comoros	Congo	Côte d´Ivoire	Eswatini	Gabon	Gambia	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Nigeria	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	South Africa	Tanzania	Tunisia	Uganda	Zambia	Zimbabwe
eng	English			2.5		15.7					3.6		1.4	6.7		2.1	0.5	29		>0.00						7.8	5.9			3.5	0.2	18			2.2	4.1	1.9
fra	Français		7.4			42.6	3.8	9.9	40.1	32.1		84.1			2.2						0.4	1.5	1.7	0.1					1	>0.00				0.1			
por	Portuguese	80.4			86.8																				38.8	0.1		99									
swa/swh	Swahili							0.1								30.8									0.1								76.1		0.4		
ara	Arabic						21														0.5													10.4			
umb	Umbundu	6.9																																			
kon	Kikongo	1.9																																			
kmb	Kimbundu	0.4																																			
cjk	Chokwe	4.2																																			
nyk	Nhaneca	1.6																																			
lch	Nganguela	0.7																																			
kon/kng/mis	Fiote/Ibinda	0.1																																			
kua	Kwanhama	1.9																																			
khu	Muhumbi	0.7																																			
lue	Luvale	0.5																																			
ajg	Ajagbé		12.5																																		
bba	Baatonum		9.5																																		
ddn	Dendi		7.9																																		
tbz	Ditamari		4.1																																		
fon	Fongbé		41.1																																		
ful/fue	Fulfuldé		5.2																																		
yor	Yoruba		11.5																																		
tsn	Setswana			83.2																																	
hio	Sesarwa			2.1																																	
xkv	Sekgalagadi			3.2																																	
sbs	Sesubia			0.2																																	
kck	Ikalanga/Sekalaka			4.7																																	
her	Seherero			0.5																																	
mhw	Sembukushu			2.4																																	
brl	Sebirwa			0.3																																	
xkv/ngol1245	Sengologa			0.1																																	
yey	Seyeyi			0.1																																	
afr	Afrikaans/Seburu			0.2																																	
kea	Crioulo				13.2																																
ful/fub	Fufuldé					18.5																															
wes	Pidgin					1.5																															
ewo	Ewondo					1.3																															
dua	Douala					0.1																															
fmp	Bafang					0.1																															
ksf	Bafia					0.3																															
byv	Bagangte					0.9																															
bai	Bamileke					1.1																															
bas	Bassa					0.8																															
bum	Bula					0.3																															
bai/ybb	Dschang					0.7																															
eto	Eton					2.3																															
fll	Fali					0.3																															
gba	Gbaya					2																															
gid	Guider					1.2																															
gizi1243	Guiziga					0.7																															
hau	Haoussa					0.4																															
kvj	Kapsiki					>0.00																															
maf	Mafa					0.9																															
mcp	Maka					1.8																															
mcn	Massa					1.2																															
nla	Mbouda					0.3																															
mdd	Mboum					0.3																															
mua	Moudan					1.4																															
mis	Ngueba					0.6																															
tik	Tikari					0.1																															
tui	Toupouri					2																															
kpwe1234/bri	Bakweri					0.1																															
aba	Abbey									0.4																											
abr	Abron									0.6																											
adj	Adjoukrou									0.5																											
any	Agny									2.6																											
ati	Attié									2.5																											
bam	Bambara									0.4																											
bci	Baoulé									15.7																											
bete1265	Bété									1.2																											
dida1245	Dida									0.5																											
goa	Gouro									2.5																											
guer1240	Guéré									2																											
kula1277	Koulango									2.7																											
lob	Lobi									1.5																											
dyu	Dioula									12.1																											
senu1239	Sénoufo									7																											
dnj	Yacouba									3.3																											
man	Malinké/Maninka									6.6																											
abi	Abidji									1.3																											
senu1239/dyi	Djimini									0.9																											
kga	Koyaka									0.8																											
lin	Lingala								26.3																												
mkw	Kituba								27																												
kwil1238	Teke								1.2																												
kon/ldi	Lari								3.5																												
como1260	Shikomori							89.9																													
mlg	Malgache							0.1																													
fan	Fang											6.5																									
puu	Punu/Mériè											2.7																									
koq	Kota											1.5																									
mdt	Mbédè											2.3																									
nzb	Nzébi/Métié											1.8																									
mye	Myénè											0.2																									
tsv	Tsogho											0.6																									
keb	Kéléy											0.2																									
mnk	Mandinka												40.5																								
ful/fuc	Fula												21.2																								
wol	Wolof												22																								
jola1264	Jola												6.1																								
snk	Serahule												5.6																								
srr	Serer												1.2																								
mfv	Manjaco												1.2																								
aka	Akan													52.2																							
ewe	Ewe/Anlo													11.9																							
gada1257	Ga/Dangme													6																							
dag	Dagbani/Mampruli													7.3																							
gjn	Gonja													0.9																							
dga	Dagaare/Waale													2.6																							
fraf1239	Frafra/Gruni/Taln/Nabt													2.7																							
kus	Kusaal													2.4																							
grus1239	Grusi/Kassem/Nankani													0.7																							
bwu	Buli													0.5																							
hau	Hausa													1																							
xon	Likpakpaln/Konkomba													2.2																							
sld	Sissala													0.9																							
sus	Soussou														24.4																						
ful/fuf	Poular														32.2																						
man/jad	Diakanké														1.1																						
man	Maninka														24.9																						
man/mku	Konianké														1.9																						
kpe	Kpèlè														5.6																						
mev	Mano														0.6																						
kno	Kono														1.5																						
lom	Loma														0.4																						
man	Manian														0.1																						
kqs	Kissié														4.9																						
kik	Kikuyu															12.8																					
luo	Luo															7.2																					
luy	Luhya															7.3																					
kam	Kamba															7.7																					
kln	Kalenjin															8																					
guz	Kisii															4.6																					
cent2274/mer	#Meru/Embu															4.5																					
nucl1431/mas	#Masai/Samburu															3.3																					
miji1238	Mijikendaac															2.6																					
dav	Taita															0.6																					
som	Somali															4.3																					
pko	Pokot															1.1																					
