#codeDisplay		dz.afrobaro.r6	bj.afrobaro.r6	bw.afrobaro.r6	bf.afrobaro.r6	bi.afrobaro.r6	cm.afrobaro.r6	cv.afrobaro.r6	ci.afrobaro.r6	eg.afrobaro.r6	ga.afrobaro.r6	gh.afrobaro.r6	gn.afrobaro.r6	ke.afrobaro.r6	ls.afrobaro.r6	lr.afrobaro.r6	mg.afrobaro.r6	mw.afrobaro.r6	ml.afrobaro.r6	mu.afrobaro.r6	ma.afrobaro.r6	mz.afrobaro.r6	na.afrobaro.r6	ne.afrobaro.r6	ng.afrobaro.r6	st.afrobaro.r6	sn.afrobaro.r6	sl.afrobaro.r6	za.afrobaro.r6	sd.afrobaro.r6	sz.afrobaro.r6	tz.afrobaro.r6	tg.afrobaro.r6	tn.afrobaro.r6	ug.afrobaro.r6	zm.afrobaro.r6	zw.afrobaro.r6
#nameDisplay		Algeria Afrobarometer Round 6 (2014/2015)	Benin Afrobarometer Round 6 (2014/2015)	Botswana Afrobarometer Round 6 (2014/2015)	Burkina Faso Afrobarometer Round 6 (2014/2015)	Burundi Afrobarometer Round 6 (2014/2015)	Cameroon Afrobarometer Round 6 (2014/2015)	Cape Verde Afrobarometer Round 6 (2014/2015)	Côte d´Ivoire Afrobarometer Round 6 (2014/2015)	Egypt Afrobarometer Round 6 (2014/2015)	Gabon Afrobarometer Round 6 (2014/2015)	Ghana Afrobarometer Round 6 (2014/2015)	Guinea Afrobarometer Round 6 (2014/2015)	Kenya Afrobarometer Round 6 (2014/2015)	Lesotho Afrobarometer Round 6 (2014/2015)	Liberia Afrobarometer Round 6 (2014/2015)	Madagascar Afrobarometer Round 6 (2014/2015)	Malawi Afrobarometer Round 6 (2014/2015)	Mali Afrobarometer Round 6 (2014/2015)	Mauritius Afrobarometer Round 6 (2014/2015)	Morocco Afrobarometer Round 6 (2014/2015)	Mozambique Afrobarometer Round 6 (2014/2015)	Namibia Afrobarometer Round 6 (2014/2015)	Niger Afrobarometer Round 6 (2014/2015)	Nigeria Afrobarometer Round 6 (2014/2015)	Sao Tome and Principe Afrobarometer Round 6 (2014/2015)	Senegal Afrobarometer Round 6 (2014/2015)	Sierra Leone Afrobarometer Round 6 (2014/2015)	South Africa Afrobarometer Round 6 (2014/2015)	Sudan Afrobarometer Round 6 (2014/2015)	Swaziland Afrobarometer Round 6 (2014/2015)	Tanzania Afrobarometer Round 6 (2014/2015)	Togo Afrobarometer Round 6 (2014/2015)	Tunisia Afrobarometer Round 6 (2014/2015)	Uganda Afrobarometer Round 6 (2014/2015)	Zambia Afrobarometer Round 6 (2014/2015)	Zimbabwe Afrobarometer Round 6 (2014/2015)
#isoRegionCode		DZ	BJ	BW	BF	BI	CM	CV	CI	EG	GA	GH	GN	KE	LS	LR	MG	MW	ML	MU	MA	MZ	NA	NE	NG	ST	SN	SL	ZA	SD	SZ	TZ	TG	TN	UG	ZM	ZW
#yearCollected	2015																																				
#mode	Speaks																																				
#domain	Home																																				
#populationEligible		39146000	10772000	2282000	18443000	10668000	22662000	549000	23292000	96675000	1999000	28532000	11475000	46346000	2106000	4563000	24531000	16707000	17828000	1293000	34468000	26435000	2263000	19740000	181703000	199000	14162000	7228000	55220000	37586000	1130000	51608000	7380000	11493000	36894000	15991000	14006000
#populationSource	https://web.archive.org/web/20231205201116/https://population.un.org/wpp/Download/Standard/MostUsed/																																				
#populationSurveyed		1,200	1,200	1,200	1,200	1,201	1,184	1,200	1,199	1,192	1,198	2,400	1,200	2,397	1,200	1,199	1,201	2,400	1,200	1,200	1,200	2,400	1,200	1,200	2,400	1,196	1,200	1,191	2,388	1,200	1,200	2,386	1,200	1,200	2,400	1,199	2,400
#nationality	citizens																																				
#quantity	percent																																				
#responsesPerIndividual	1																																				
#collectorType	NGO																																				
#collectorName	Afrobarometer																																				
#url	https://www.afrobarometer.org/online-data-analysis/																																				
#dateAccessed	2026-03-05																																				
#documentName	Afrobarometer (R6 2014/2015)																																				
#tableName	What is the primary language you speak in your home?																																				
#notes	From a compliation of other reports, years 2014 and 2015																																				
Language Code	Language Name	Algeria	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Côte d´Ivoire	Egypt	Gabon	Ghana	Guinea	Kenya	Lesotho	Liberia	Madagascar	Malawi	Mali	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Sao Tome and Principe	Senegal	Sierra Leone	South Africa	Sudan	Swaziland	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
eng	English			0.70%	0.10%		0.50%							0.50%	0.50%	5.30%	0.10%	0.60%		0.50%			0.90%					0.60%	11.00%	0.30%	1.40%				0.10%	0.90%	0.80%
fra	French	0.60%	0.70%		0.70%		15.60%		6.00%		29.20%		0.90%				0.10%		0.20%	1.50%			0.30%				0.50%						1.60%	0.30%			
por	Portuguese																					13.60%	0.20%			90.30%			0.10%								
swa	#Kiswahili;Swahili					0.70%								3.60%																		5.20%			0.30%		
ara	Arabic																				83.20%													99.70%			
arq	Algerian Arabic	92.50%																																			
ber	Berber	6.90%																																			
kea	Crioulo							99.70%																													
por	Português							0.30%																													
run	Kirundi					99.30%																															
tsn	Setswana			76.50%																																	
hio	Sesarwa			2.40%																																	
xkv	Sekgalagadi			4.10%																																	
sbs	Sesubia			0.30%																																	
kck	Ikalanga/Sekalaka			8.50%																																	
her	Seherero			1.70%																																	
mhw	Sembukushu			1.20%																																	
brl	Sebirwa			1.00%																																	
xkv/ngol1245	Sengologa			0.40%																																	
yey	Seyeyi			1.40%																																	
afr	Afrikaans/Seburu			0.30%																																	
mos	Mooré				54.40%																																
dyu	Dioula				5.70%																																
ful/fuh/lipt1238	Fulfuldé				3.80%																																
gux	Gulmacema				5.30%																																
grus1239	Gourounsi				3.60%																																
bib	Bissa				4.70%																																
biri1257	Birifor				1.40%																																
box	Bwamu				1.70%																																
dgi	Dagari				2.30%																																
kfz	Fulse				0.10%																																
mis	Goin				1.00%																																
senu1239/kara1479	Karaboro				0.40%																																
xsm	Kassena				1.70%																																
lob	Lobi				0.40%																																
rkm	Marka				3.00%																																
mand1437	Samo				2.50%																																
senu1239	Sénoufo				0.80%																																
son/dje/kaad1238	Sonrai				0.50%																																
tusi1238	Toussian				1.20%																																
ful/fub	Foufoulde						10.60%																														
wes	Pidgin						0.50%																														
ewo	Ewondo						5.80%																														
fmp	Bafang						1.00%																														
dua	Douala						1.30%																														
ksf	Bafia						0.60%																														
bfd	Bafut						0.50%																														
byv	Bagangte						1.10%																														
bdu	Bakundu						1.30%																														
bai	Bamileke						4.50%																														
bax	Bamoun						1.60%																														
bai/bbj	Bandjoun						1.50%																														
bai	Bangwa						0.50%																														
lns	Banso						1.10%																														
bas	Bassa						2.30%																														
ckx/bata1286	Batanga						0.60%																														
ken	Bayangi						0.90%																														
bum	Bulu						2.60%																														
bai/ybb	Dschang						1.60%																														
eto	Eton						4.10%																														
fll	Fali						0.40%																														
ewo/fong1242	Fong						0.40%																														
gba	Gbaya						1.50%																														
gid	Guidar						1.10%																														
gizi1243	Guiziga						0.70%																														
hau	Haoussa						1.20%																														
kvj	Kapsiki						1.90%																														
maf	Mafa						4.80%																														
mcp	Maka						0.70%																														
mank1258	Mankon						0.20%																														
mcn	Massa						2.10%																														
nla	Mbouda						1.20%																														
mdd	Mboum						0.50%																														
mua	Moudang						1.90%																														
mis	Ngueba						0.30%																														
lns	Lamnso						0.50%																														
tik	Tikari						0.30%																														
tui	Toupouri						1.60%																														
yam	Yamba						0.50%																														
mis	Yabassi						0.10%																														
bum/bene1244	Bene						0.20%																														
cri	Creolo																									5.30%											
cri	Forro																									2.60%											
aoa	Angolar																									1.80%											
aba	Abbey								1.90%																												
abr	Abron								1.80%																												
adj	Adjoukrou								1.90%																												
any	Agny								7.20%																												
ati	Attié								3.10%																												
avi	Avikam								0.30%																												
bam	Bambara								0.20%																												
bci	Baoulé								14.50%																												
bete1265	Bété								6.60%																												
dida1245	Dida								2.90%																												
god	Godié								0.30%																												
goa	Gouro								3.30%																												
guer1240	Guéré								4.40%																												
kula1277	Koulango								2.10%																												
ivor1240	Kroumen								1.30%																												
lob	Lobi								1.30%																												
dyu	Dioula								17.30%																												
senu1239	Sénoufo								7.60%																												
dnj	Yacouba								4.70%																												
senu1239/dyi	Djimini								1.70%																												
mis	Gnanboua								0.60%																												
kga	Koyaka								0.80%																												
wob	Wobe								1.40%																												
fon	Fon		42.80%																																		
ajg	Adja		13.30%																																		
bba	Bariba		10.20%																																		
ddn	Dendi		3.80%																																		
yor	Yoruba		14.70%																																		
tbz	Otamari		4.00%																																		
ful/fue	Peulh		5.40%																																		
dop	Lopka		4.30%																																		
ara/arz	Egyptian Arabic									100.00%																											
fan	Fang										25.30%																										
puu	Punu/Mériè										16.40%																										
koq	Kota										3.80%																										
mdt	Mbédè										8.80%																										
nzb	Nzébi/Métié										9.60%																										
mye	Myénè										2.70%																										
tsv	Tsogho										2.90%																										
keb	Kélè										1.20%																										
