#nameDisplay		Cameroon 2005 
#isoRegionCode		CM
#yearCollected		2005
#datePublished		November 2021
#eligiblePopulation		17,723,590
#acquisitionOrder		L1
#age		15+
#quantity		percent
#url		https://data.humdata.org/dataset/cameroon-languages?
#collectorType		Secondary Source based on Government
#collectorName		Translators Without Borders
#source		Institut National de la Statistique (INS Cameroon). - TWB
#notes		Original source apparently Cameroon 2005 Census
Language Code		Cameroon 2005
fra	French	56.0%
eng	English	23.1%
bss	Akoose	0.2%
ara	Arabic	1.1%
bwt	Bafaw-Balong	0.1%
ksf	Bafia	0.2%
bfd	Bafut	0.1%
bkc	Baka	0.0%
bss	Bakossi	0.1%
bri	Mokpwe	0.1%
mhk	Mungaka	0.1%
bax	Bamun	0.5%
bcw	Bana	0.1%
bgj	Bangolan	0.0%
bas	Basaa	2.9%
btc	Bati	0.4%
bdm	Buduma	0.0%
bum	Bulu	3.2%
dbg	Daba	0.0%
anv	Denya	0.0%
dur	Dii	0.1%
dow	Doyayo	0.0%
dua	Duala	1.3%
etu	Ejagham	0.1%
eto	Eton	0.5%
ewo	Ewondo	3.0%
fal	South Fali	0.0%
fmp	Fefe	0.4%
fub	Fufulde	1.0%
gmm	Gbaya (north east)	0.3%
gya	Gbaya (south west)	0.0%
bbj	Ghomala	0.2%
giz	South giziga	0.1%
gde	Gude	0.0%
gyi	Gyele (Bagvele)	0.0%
hau	Hausa	0.2%
kkj	Kako	0.2%
kzr	Karang (East Mbum)	0.0%
ken	Kenyang	0.2%
bkm	Kom	0.1%
ozm	Koonzime	0.1%
xuo	Kuo	0.2%
lns	Lamnso	0.1%
lmp	Limbum	0.1%
maf	Mafa	0.1%
mcp	Makaa	0.0%
mcu	Mambila	0.1%
mcn	Masana	0.0%
nza	Mbembe Tigon	0.1%
mbo	Mbo	0.3%
byv	Medumba	0.1%
mgo	Meta	0.0%
mif	Mofo Gudur (south mofu)	0.1%
mnf	Mundani	0.1%
mug	Musgu	0.1%
nnh	Ngiemboon	0.2%
nge	Ngemba	0.0%
nhu	Noone	0.2%
fan	Ntoumou	0.0%
yas	Nugunu	0.0%
oku	Oku	0.0%
tik	Tikar	0.0%
tvu	Tunen	0.4%
tui	Tupuri	0.0%
vut	Vute	0.0%
mfi	Wandala	0.1%
yam	Yamba	0.0%
yat	Yambeta	0.3%
ybb	Yemba	0.8%
mua	Mundang	0.0%
mdd	Mbum	0.1%
mis	Other	0.0%
