#codeDisplay		us2023	us2023eng	us2023no.eng	#us2023eng.verywell	#us2023eng.well	#us2023eng.notwell	#us2023eng.notatall
#nameDisplay		US 2023	US 2023 also Speaks English	US 2023 does not speak English	US 2023 speaks English Very well	US 2023 speaks English Well	US 2023 speaks English Not well	US 2023 speaks English Not at all
#isoRegionCode	US							
#yearCollected	2023							
#url	https://data.census.gov/app/mdat/ACSPUMS1Y2023/table?cv=ENG&rv=LANP&wt=PWGTP							
#tableName	Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2023)							
#columnName		Language spoken at home	Language spoken at home x Ability to speak English Very well + Well	Language spoken at home x Ability to speak English Not well + Not at all	Very well	Well	Not well	Not at all
#collectorName	United States Census Bureau							
#collectorType	Government							
#dateAccessed	2025-08-11							
#age	0+							
#gender	Any							
#modality	Spoken							
#proficiency			English: Very well or Well	English: Not well or not at all	Very well	Well	Not well	Not at all
#acquisitionOrder	Any							
#domain	Home							
#eligiblePopulation	334,914,896							
#responsesPerIndividual	1							
#notes	American Community Survey							
Language Code	Language spoken at home	US 2023	US 2023 also Speaks English	US 2023 does not speak English	Very well	Well	Not well	Not at all
eng	#English only	263,790,712	263,790,712		263,790,712	0	0	0
eng	#Multilingual in English	57,135,400	57,135,400					
spa	Spanish	43,347,490	33,438,584	9,908,906	25,809,182	7,629,402	6,307,393	3,601,513
zho	#Chinese not divided	2,125,787	1,564,176	561,611	985,630	578,546	385,386	176,225
vie	Vietnamese	1,580,492	1,090,107	490,385	674,369	415,738	381,842	108,543
ara	Arabic	1,421,262	1,249,238	172,024	935,033	314,205	131,046	40,978
tgl	Tagalog	1,398,316	1,308,614	89,702	974,981	333,633	82,154	7,548
fra	French	1,183,932	1,106,617	77,315	939,165	167,452	69,852	7,463
kor	Korean	1,077,066	829,791	247,275	525,760	304,031	221,913	25,362
por	Portuguese	1,060,627	877,127	183,500	680,169	196,958	124,576	58,924
rus	Russian	1,003,727	807,192	196,535	559,931	247,261	160,833	35,702
hat	Haitian	977,518	794,808	182,710	576,622	218,186	136,336	46,374
hin	Hindi	943,423	903,104	40,319	790,340	112,764	31,306	9,013
deu	German	856,261	825,402	30,859	732,554	92,848	27,160	3,699
zho/cmn	Mandarin	802,643	644,802	157,841	448,339	196,463	114,602	43,239
urd	Urdu	560,503	505,859	54,644	406,559	99,300	45,850	8,794
zho/yue	Cantonese	539,622	356,157	183,465	245,451	110,706	118,392	65,073
tel	Telugu	509,623	495,283	14,340	418,968	76,315	12,136	2,204
ita	Italian	503,405	465,785	37,620	386,098	79,687	33,928	3,692
pol	Polish	495,299	432,464	62,835	322,719	109,745	55,334	7,501
fas/pes	Farsi	493,222	428,950	64,272	323,780	105,170	51,212	13,060
jpn	Japanese	462,999	400,694	62,305	286,495	114,199	57,205	5,100
guj	Gujarati	462,599	404,662	57,937	311,174	93,488	44,181	13,756
ben	Bengali	457,788	384,980	72,808	271,406	113,574	54,862	17,946
fil	Filipino	413,138	391,850	21,288	292,491	99,359	19,477	1,811
tam	Tamil	353,944	344,796	9,148	298,393	46,403	7,841	1,307
pan	Punjabi	342,274	290,254	52,020	221,421	68,833	36,674	15,346
ukr	Ukrainian	318,313	231,047	87,266	158,163	72,884	66,049	21,217
amh	Amharic	251,412	227,020	24,392	158,796	68,224	21,327	3,065
hye	Armenian	249,260	199,346	49,914	146,033	53,313	36,259	13,655
ell	Greek	246,158	227,765	18,393	193,745	34,020	15,662	2,731
heb	Hebrew	234,185	228,886	5,299	204,718	24,168	4,199	1,100
hmn	Hmong	224,904	188,767	36,137	133,135	55,632	27,651	8,486
yid	Yiddish	220,111	185,796	34,315	110,602	75,194	26,315	8,000
pdc	Pennsylvania German	217,170	204,944	12,226	147,627	57,317	9,942	2,284
yor	Yoruba	213,732	209,676	4,056	185,667	24,009	3,585	471
nep	Nepali	210,660	171,544	39,116	114,386	57,158	28,189	10,927
