European Charter for Regional or Minority Languages
Source	https://www.coe.int/en/web/european-charter-regional-or-minority-languages/languages-covered
Status	24.09.2024
										
Language Code	Language Name	State Party	isoRegionCode	Notes	Level of protection under the Charter (Articles applying to the language concerned)
sqi	Albanian	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
sqi	Albanian	Montenegro	me		Part II (Article 7) and Part III (Articles 8-14)
sqi	Albanian	Romania	ro		Part II (Article 7)
sqi	Albanian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
ber/rif	Amazigh	Spain (in the Autonomoous City of Melilla)	es	Tamazigh - zgh?	Part II (Article 7)
arg	Aragonese	Spain (in the Autonomoous Community of Aragon)	es		Part II (Article 7)
hye	Armenian	Cyprus	cy		Part II (Article 7.5)
hye	Armenian	Hungary	hu		Part II (Article 7.5)
hye	Armenian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
hye	Armenian	Romania	ro		Part II (Article 7)
syr	Assyrian	Armenia	am		Part II (Article 7) and Part III (Articles 8-14)
ast	Asturian	Spain (in the Principality of Asturias)	es		Part II (Article 7)
eus	Basque	Spain (in the Autonomous Community of the Basque Country and the Foral Community of Navarre)	es		Part II (Article 7) and Part III (Articles 8-14)
bel	Belarusian	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
bel	Belarusian	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
hbs/bos	Bosnian	Montenegro	me		Part II (Article 7)
hbs/bos	Bosnian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
baya1255	Boyash	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Hungary	hu		Part II (Article 7.5)
bul	Bulgarian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
bunj1247	Bunjevac	Serbia	rs		Part II (Article 7)
cat	Catalan	Spain (in the Autonomous Communities of Aragon, the Balearic Islands, Catalonia, Murcia [called Valencian] and the Valencian Community [called Valencian])	es		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
cor	Cornish	United Kingdom	gb		Part II (Article 7)
crh	Crimean Tatar	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
hbs/ckm/burg1244	Burgenlandcroatian	Austria	at		Part II (Article 7) and Part III (Articles 8-14)
ces/czec1259	Moravian Croatian	Czech Republic	cz		Part II (Article 7)
hbs/hrv	Croatian	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
hbs/hrv	Croatian	Montenegro	me		Part II (Article 7)
hbs/hrv	Croatian	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
hbs/hrv	Croatian	Serbia	rs		Part II (Article 7) and Part III (Articles 8-14)
hbs/hrv	Croatian	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
hbs/hrv	Croatian	Slovenia	si		Part II (Article 7)
acy	Cypriot Maronite Arabic	Cyprus	cy		Part II (Article 7)
ces	Czech	Austria	at		Part II (Article 7)
ces	Czech	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Croatia	hr		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Serbia	rs		Part II (Article 7)
ces	Czech	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
ary	Darija	Spain (in the Autonomous City of Ceuta)	es		Part II (Article 7)
ext	Extremaduran	Spain (in the Autonomous Community of Extremadura)	es		Part II (Article 7)
fax	Fala	Spain (in the Autonomous Community of Extremadura)	es		Part II (Article 7)
dan	Danish	Germany	de		Part II (Article 7) and Part III (Articles 8-14)
fin	Finnish	Sweden	se		Part II (Article 7) and Part III (Articles 8-14)
frp	Franco-Provençal	Switzerland	ch		Part II (Article 7)
fra	French	Switzerland	ch		Part II (Article 7)
fry	Frisian	Netherlands	nl		Part II (Article 7) and Part III (Articles 8-14)
gag	Gagauz	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
glg	Galician	Spain (in the Principality of Asturias [called Galician-Asturian], in the Autonomous Communities of Castille and Leon and Galicia)	es		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
deu	German	Armenia	am		Part II (Article 7)
deu	German	Bosnia and Herzegovina	ba		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Croatia	hr		Part II (Article 7)
deu	German	Czech Republic	cz		Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
deu	German	Denmark	dk		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Hungary	hu		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Poland	pl		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Romania	ro		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Serbia	rs		Part II (Article 7)
deu	German	Slovakia	sk		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Slovenia	si		Part II (Article 7)
deu	German	Switzerland	ch		Part II (Article 7)
deu	German	Ukraine	ua		Part II (Article 7) and Part III (Articles 8-14)
el	Greek	Armenia	am		Part II (Article 7) and Part III (Articles 8-14)
el	Greek	Hungary	hu		Part II (Article 7.5)
