# from https://support.google.com/gboard/answer/6380730#zippy=%2Cchoose-languages-layouts%2Cfind-supported-languages
# accessed 2026-02-19
# only keyboard names were provided so we had to manually map them to language tags
ID	Name	Lang code	Country Code	Input Script ISO	Output Script ISO	Variant Tag
gboard_aar_Latn	Afar	aar		Latn	Latn	
gboard_abk_Cyrl	Abkhaz	abk		Cyrl	Cyrl	
gboard_abr_Latn	Abron	abr		Latn	Latn	
gboard_abs_Latn	Ambonese Malay	abs		Latn	Latn	
gboard_abv_Arab_BH	Arabic (Bahrain)	abv	BH	Arab	Arab	
gboard_ace_Latn	Acehnese	ace		Latn	Latn	
gboard_acf_Latn	Saint Lucian Creole French	acf		Latn	Latn	
gboard_ach_Latn	Acholi	ach		Latn	Latn	
gboard_ada_Latn	Dangme	ada		Latn	Latn	
gboard_adx_Latn	Amdo Tibetan	adx		Latn	Latn	
gboard_ady_Cyrl	Adyghe	ady		Cyrl	Cyrl	
gboard_afb_Arab	Arabic (Gulf)	afb		Arab	Arab	
gboard_afr_Latn	Afrikaans	afr		Latn	Latn	
gboard_ahr_Deva	Ahirani	ahr		Deva	Deva	
gboard_ahr_Deva_t_k0_Latn	Ahirani, Transliteration	ahr		Latn	Deva	
gboard_aii_Syrc_IQ	Assyrian (Iraq)	aii	IQ	Syrc	Syrc	
gboard_aii_Syrc_SY	Assyrian (Syria)	aii	SY	Syrc	Syrc	
gboard_ajg_Latn	Ajagbe	ajg		Latn	Latn	
gboard_aka_Latn	Akan	aka		Latn	Latn	
gboard_aln_Latn	Albanian, Gheg	aln		Latn	Latn	
gboard_als_Latn	Albanian, Tosk	als		Latn	Latn	
gboard_alz_Latn	Alur	alz		Latn	Latn	
gboard_amh_Ethi	Amharic	amh		Ethi	Ethi	
gboard_ami_Latn	Amis	ami		Latn	Latn	
gboard_anp_Deva	Angika	anp		Deva	Deva	
gboard_anw_Latn	Anaang	anw		Latn	Latn	
gboard_apc_Arab	Arabic (Levant)	apc		Arab	Arab	
gboard_apd_Arab_SD	Arabic (Sudan)	apd	SD	Arab	Arab	
gboard_ara_Arab_IQ	Arabic (Iraq)	ara	IQ	Arab	Arab	
gboard_ara_Arab_LY	Arabic (Libya)	ara	LY	Arab	Arab	
gboard_ara_Arab_OM	Arabic (Oman)	ara	OM	Arab	Arab	
gboard_ara_Arab_SA	Arabic (Saudi Arabia)	ara	SA	Arab	Arab	
gboard_ara_Arab_TN	Arabic (Tunisia)	ara	TN	Arab	Arab	
gboard_ara_Arab_YE	Arabic (Yemen)	ara	YE	Arab	Arab	
gboard_arg_Latn	Aragonese	arg		Latn	Latn	
gboard_arq_Arab_DZ	Arabic (Algeria)	arq	DZ	Arab	Arab	
gboard_ary_Arab_MA	Arabic (Morocco)	ary	MA	Arab	Arab	
gboard_arz_Arab_EG	Arabic (Egypt)	arz	EG	Arab	Arab	
gboard_asm_Beng	Assamese, Assamese	asm		Beng	Beng	
gboard_asm_Beng_t_k0_Latn	Assamese, Transliteration	asm		Latn	Beng	
gboard_asm_Latn	Assamese, Latin	asm		Latn	Latn	
gboard_ast_Latn	Asturian	ast		Latn	Latn	
gboard_ava_Cyrl	Avar	ava		Cyrl	Cyrl	
gboard_awa_Deva	Awadhi	awa		Deva	Deva	
gboard_awa_Deva_t_k0_Latn	Awadhi, Transliteration	awa		Latn	Deva	
gboard_aym_Latn_PE	Aymara (Peru)	aym	PE	Latn	Latn	
gboard_ayr_Latn_BO	Aymara (Bolivia)	ayr	BO	Latn	Latn	
gboard_aze_Arab_IR	Azerbaijani (Iran)	aze	IR	Arab	Arab	
gboard_aze_Cyrl_RU	Azerbaijani (Russia)	aze	RU	Cyrl	Cyrl	
gboard_aze_Latn_AZ	Azerbaijani (Azerbaijan)	aze	AZ	Latn	Latn	
gboard_bah_Latn	Bahamian Creole	bah		Latn	Latn	
gboard_bak_Cyrl	Bashkir	bak		Cyrl	Cyrl	
gboard_bal_Arab	Balochi	bal		Arab	Arab	
gboard_bam_Latn	Bambara, Latin	bam		Latn	Latn	
gboard_bam_Nkoo	Bambara, N'Ko	bam		Nkoo	Nkoo	
gboard_ban_Bali	Balinese, Aksara Bali	ban		Bali	Bali	
gboard_ban_Latn	Balinese, Latin	ban		Latn	Latn	
gboard_bany1247_Latn	Javanese, Banyumasan	bany1247		Latn	Latn	
gboard_bar_Latn	Austro-Bavarian	bar		Latn	Latn	
gboard_bas_Latn	Basaa	bas		Latn	Latn	
gboard_bax_Bamu	Bamum	bax		Bamu	Bamu	
gboard_bbc_Latn	Batak Toba	bbc		Latn	Latn	
gboard_bbj_Latn	Ghomala	bbj		Latn	Latn	
gboard_bcc_Arab	Southern Balochi	bcc		Arab	Arab	
gboard_bcc_Arab_t_k0_Latn	Southern Balochi, Transliteration	bcc		Latn	Arab	
gboard_bci_Latn	Baoulé	bci		Latn	Latn	
gboard_bcl_Latn	Central Bikol	bcl		Latn	Latn	
gboard_bcq_Ethi	Bench, Ge'ez	bcq		Ethi	Ethi	
gboard_bcq_Latn	Bench, Latin	bcq		Latn	Latn	
gboard_bel_Cyrl	Belarusian	bel		Cyrl	Cyrl	
gboard_bem_Latn	Bemba	bem		Latn	Latn	
gboard_ben_Beng_BD	Bangla (Bangladesh)	ben	BD	Beng	Beng	
gboard_ben_Beng_IN	Bangla (India), Bengali	ben	IN	Beng	Beng	
gboard_ben_Beng_IN_t_k0_Latn	Bangla (India), Transliteration	ben	IN	Latn	Beng	
gboard_ben_Latn_IN	Bangla (India), Latin	ben	IN	Latn	Latn	
gboard_ber_Latn	Tamazight, Latin	ber		Latn	Latn	
gboard_ber_Tfng	Tamazight, Tifinagh	ber		Tfng	Tfng	
gboard_bew_Latn	Betawi	bew		Latn	Latn	
gboard_bft_Arab	Balti	bft		Arab	Arab	
gboard_bft_Arab_t_k0_Latn	Balti, Transliteration	bft		Latn	Arab	
gboard_bfy_Deva	Bagheli	bfy		Deva	Deva	
gboard_bfy_Deva_t_k0_Latn	Bagheli, Transliteration	bfy		Latn	Deva	
gboard_bfz_Deva	Mahasu Pahari	bfz		Deva	Deva	
gboard_bgc_Deva	Haryanvi	bgc		Deva	Deva	
gboard_bgc_Deva_t_k0_Latn	Haryanvi, Transliteration	bgc		Latn	Deva	
gboard_bgn_Arab	Western Balochi	bgn		Arab	Arab	
gboard_bgp_Arab	Eastern Balochi	bgp		Arab	Arab	
gboard_bgq_Arab_PK	Bagri (Pakistan)	bgq	PK	Arab	Arab	
gboard_bgq_Arab_PK_t_k0_Latn	Bagri (Pakistan), Transliteration	bgq	PK	Latn	Arab	
gboard_bgq_Deva_IN	Bagri (India)	bgq	IN	Deva	Deva	
gboard_bgq_Deva_IN_t_k0_Latn	Bagri (India), Transliteration	bgq	IN	Latn	Deva	
gboard_bgx_Grek	Balkan Gagauz Turkish	bgx		Grek	Grek	
gboard_bgz_Latn	Banggai	bgz		Latn	Latn	
gboard_bhb_Deva	Bhili, Devanagari	bhb		Deva	Deva	
gboard_bhb_Deva_t_k0_Latn	Bhili, Devanagari, Transliteration	bhb		Latn	Deva	
gboard_bhb_Gujr	Bhili, Gujarati	bhb		Gujr	Gujr	
gboard_bhb_Gujr_t_k0_Latn	Bhili, Gujarati, Transliteration	bhb		Latn	Gujr	
gboard_bho_Deva	Bhojpuri	bho		Deva	Deva	
gboard_bho_Deva_t_k0_Latn	Bhojpuri, Transliteration	bho		Latn	Deva	
gboard_bin_Latn	Edo	bin		Latn	Latn	
gboard_bis_Latn	Bislama	bis		Latn	Latn	
gboard_bjj_Deva	Kannauji	bjj		Deva	Deva	
gboard_bjj_Deva_t_k0_Latn	Kannauji,Transliteration	bjj		Latn	Deva	
gboard_bjn_Latn	Banjar	bjn		Latn	Latn	
gboard_bku_Buhd	Buhid	bku		Buhd	Buhd	
gboard_blk_Mymr	Pa'O Karen	blk		Mymr	Mymr	
gboard_blt_Latn	Tai Dam, Latin	blt		Latn	Latn	
gboard_blt_Tavt	Tai Dam, Tai Viet	blt		Tavt	Tavt	
gboard_bmm_Latn	Northern Betsimisaraka Malagasy	bmm		Latn	Latn	
gboard_bns_Deva	Bundeli	bns		Deva	Deva	
gboard_bns_Deva_t_k0_Latn	Bundeli, Transliteration	bns		Latn	Deva	
gboard_bod_Tibt	Tibetan	bod		Tibt	Tibt	
gboard_bom_Latn	Berom	bom		Latn	Latn	
gboard_bos_Cyrl	Bosnian, Cyrillic	bos		Cyrl	Cyrl	
gboard_bos_Latn	Bosnian, Latin	bos		Latn	Latn	
gboard_boy_Beng	Bodo, Bengali	boy		Beng	Beng	
gboard_boy_Beng_t_k0_Latn	Bodo, Bengali, Transliteration	boy		Latn	Beng	
gboard_boy_Deva	Bodo, Devanagari	boy		Deva	Deva	
gboard_boy_Deva_t_k0_Latn	Bodo, Devanagari, Transliteration	boy		Latn	Deva	
gboard_boy_Latn	Bodo, Latin	boy		Latn	Latn	
gboard_bpr_Latn	Koronadal Blaan	bpr		Latn	Latn	
gboard_bpy_Beng	Bishnupriya	bpy		Beng	Beng	
gboard_bpy_Beng_t_k0_Latn	Bishnupriya, Transliteration	bpy		Latn	Beng	
gboard_bqi_Arab	Bakhtiari	bqi		Arab	Arab	
gboard_bre_Latn	Breton	bre		Latn	Latn	
gboard_brh_Arab	Brahui, Arabic	brh		Arab	Arab	
