Language ISO	Territory ISO	LanguageFormedInThisRegion	HistoricPresense
eng	AC	0	0
cat	AD	1	1
fra	AD	0	1
spa	AD	0	1
ara	AE	1	1
ssh	AE	1	1
mal	AE	0	0
bal	AE	0	0
eng	AE	0	0
fas	AE	0	1
fra	AE	0	1
pus	AE	0	0
abh	AF	1	1
ara	AF	0	1
kaa	AF	0	1
kaz	AF	0	1
kir	AF	0	1
tuk	AF	1	1
uig	AF	0	1
uzb	AF	1	1
uzs	AF	1	1
eng	AF	0	0
fas	AF	0	1
haz	AF	1	1
prs	AF	1	1
pus	AF	1	1
afg	AF	1	0
eng	AG	0	0
eng	AI	0	0
spa	AI	0	0
fra	AL	0	0
rom	AL	0	1
sqi	AL	1	1
sqk	AL	1	1
aii	AM	0	1
syr	AM	0	1
aze	AM	1	1
tur	AM	0	1
eng	AM	0	0
fas	AM	0	1
fra	AM	0	0
hye	AM	1	1
rom	AM	0	1
spa	AM	0	0
aen	AM	1	1
por	AO	0	0
kmb	AO	1	1
umb	AO	1	1
arn	AR	1	1
eng	AR	0	0
spa	AR	0	0
eng	AS	0	0
tur	AT	0	0
bar	AT	1	1
deu	AT	0	1
eng	AT	0	0
fra	AT	0	0
rom	AT	0	1
asq	AT	1	0
ara	AU	0	0
cld	AU	0	0
mlt	AU	0	0
syr	AU	0	0
tur	AU	0	0
dja	AU	1	1
dth	AU	1	1
eaa	AU	1	1
gbu	AU	1	1
gdt	AU	1	1
lnw	AU	1	1
ntg	AU	1	1
nwg	AU	1	1
wdj	AU	1	1
wdy	AU	1	1
wky	AU	1	1
xbb	AU	1	1
xgi	AU	1	1
xnk	AU	1	1
xnu	AU	1	1
xrg	AU	1	1
ygi	AU	1	1
yty	AU	1	1
khm	AU	0	0
vie	AU	0	0
coa	AU	1	1
fij	AU	0	0
fil	AU	0	0
rtm	AU	0	0
afr	AU	0	0
eng	AU	0	0
fas	AU	0	0
fra	AU	0	0
spa	AU	0	0
ard	AU	1	1
are	AU	1	1
asf	AU	1	1
ygs	AU	1	1
zho	AU	0	0
ajn	AU	1	1
dgn	AU	1	1
jng	AU	1	1
wrr	AU	1	1
eng	AW	0	0
fra	AW	0	0
spa	AW	0	0
aze	AZ	1	1
azj	AZ	1	1
tur	AZ	0	1
bos	BA	1	1
eng	BA	0	0
fra	BA	0	0
eng	BB	0	0
aml	BD	1	1
cdz	BD	1	1
ekl	BD	1	1
kha	BD	1	1
lyg	BD	1	1
mef	BD	1	1
mjx	BD	1	1
pbv	BD	1	1
sat	BD	0	1
unr	BD	1	1
ben	BD	1	1
eng	BD	0	0
rkt	BD	1	1
syl	BD	1	1
ins	BD	0	0
deu	BE	0	1
eng	BE	0	1
fra	BE	0	1
nld	BE	1	1
taq	BF	1	1
tmh	BF	1	1
fra	BF	0	0
dyu	BF	1	1
mos	BF	1	1
tur	BG	0	1
bul	BG	1	1
eng	BG	0	0
fra	BG	0	0
rom	BG	0	1
abv	BH	1	1
ara	BH	1	1
eng	BI	0	0
fra	BI	0	0
run	BI	1	1
swa	BI	0	0
fra	BJ	0	0
fon	BJ	1	1
fra	BL	0	0
eng	BM	0	0
beg	BN	1	1
bsb	BN	1	1
eng	BN	0	0
zho	BN	0	0
aym	BO	1	1
spa	BO	0	0
aro	BO	1	1
bvl	BO	1	0
que	BO	1	1
sar	BO	1	1
yuz	BO	1	1
tba	BR	1	1
atx	BR	1	1
aap	BR	1	1
ake	BR	1	1
eng	BR	0	0
por	BR	0	0
spa	BR	0	0
ark	BR	1	1
aan	BR	1	1
arr	BR	1	1
aru	BR	1	1
arx	BR	1	1
arj	BR	1	1
xoo	BR	1	1
guu	BR	1	1
shb	BR	1	1
wca	BR	1	1
xsu	BR	1	1
yro	BR	1	1
