# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_acoli	Acoli	ach	Latn	Latn	153	2481	windows,macos
keyman_adiga_danef	Adiga Danef	ady	Cyrl	Cyrl	89	2905	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_adinkra	Adinkra	ak,ee,gaa,dag	Latn	Latn	105	1609	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_afghan_turkmen	Afghan Turkmen	tk	Latn	Latn	68	1694	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_afro	AFRO	bjt,bm,fuh,ha,dyo,csk,bms,kby,krt,mnk,fuc,srr,khq,snk,ttq,taq,wo,dje	Latn	Latn	339	4389	windows,macos
keyman_ahom_star	Ahom Star	aho	Ahom	Ahom	86	3339	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_akan	akan	ak	Latn	Latn	198	1665	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_akha_lahu	Akha/Lahu	ahk,lhu	Latn	Latn	72	72	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_aksarabali_panlex	Aksara Bali	ban,kaw	Bali	Bali	524	35415	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_alephwithbeth	Aleph With Beth	he	Hebr	Hebr	174	3202	windows,macos,linux,desktopWeb,ios,android,mobileWeb
