From https://documentation.abes.fr/guide/html/formats/CodesLanguesISO639-3.htm		
Code	Nom en français	Display Name French
aaa	ghotuo	Ghotuo
aab	alumu-tesu	Alumu-Tesu
aac	ari	Ari
aad	amal	Amal
aae	arbëreshë albanian	Arbëreshë Albanian
aaf	aranadan	Aranadan
aag	ambrak	Ambrak
aah	abu' arapesh	Abu' Arapesh
aai	arifama-miniafia	Arifama-Miniafia
aak	ankave	Ankave
aal	afade	Afade
aan	anambé	Anambé
aao	algerian saharan arabic	Algerian Saharan Arabic
aap	pará arára	Pará Arára
aaq	eastern abnaki	Eastern Abnaki
aar	afar	Afar
aas	aasáx	Aasáx
aat	arvanitika albanian	Arvanitika Albanian
aau	abau	Abau
aaw	solong	Solong
aax	mandobo atas	Mandobo Atas
aaz	amarasi	Amarasi
aba	abé	Abé
abb	bankon	Bankon
abc	ambala ayta	Ambala Ayta
abd	manide	Manide
abe	western abnaki	Western Abnaki
abf	abai sungai	Abai Sungai
abg	abaga	Abaga
abh	tajiki arabic	Tajiki Arabic
abi	abidji	Abidji
abj	aka-bea	Aka-Bea
abk	abkhaze	Abkhaze
abl	lampung nyo	Lampung Nyo
abm	abanyom	Abanyom
abn	abua	Abua
abo	abon	Abon
abp	abellen ayta	Abellen Ayta
abq	abaza	Abaza
abr	abron	Abron
abs	ambonese malay	Ambonese Malay
abt	ambulas	Ambulas
abu	abure	Abure
abv	baharna arabic	Baharna Arabic
abw	pal	Pal
abx	inabaknon	Inabaknon
aby	aneme wake	Aneme Wake
abz	abui	Abui
aca	achagua	Achagua
acb	áncá	Áncá
acd	gikyode	Gikyode
ace	aceh	Aceh
acf	saint lucian creole french	Saint Lucian Creole French
ach	acoli	Acoli
aci	aka-cari	Aka-Cari
ack	aka-kora	Aka-Kora
acl	akar-bale	Akar-Bale
acm	mesopotamian arabic	Mesopotamian Arabic
acn	achang	Achang
acp	eastern acipa	Eastern Acipa
acq	ta'izzi-adeni arabic	Ta'Izzi-Adeni Arabic
acr	achi	Achi
acs	acroá	Acroá
act	achterhoeks	Achterhoeks
acu	achuar-shiwiar	Achuar-Shiwiar
acv	achumawi	Achumawi
acw	hijazi arabic	Hijazi Arabic
acx	omani arabic	Omani Arabic
acy	cypriot arabic	Cypriot Arabic
acz	acheron	Acheron
ada	adangme	Adangme
adb	atauran	Atauran
add	lidzonka	Lidzonka
ade	adele	Adele
adf	dhofari arabic	Dhofari Arabic
adg	andegerebinha	Andegerebinha
adh	adhola	Adhola
adi	adi	Adi
adj	adioukrou	Adioukrou
adl	galo	Galo
adn	adang	Adang
ado	abu	Abu
adq	adangbe	Adangbe
adr	adonara	Adonara
ads	adamorobe sign language	Adamorobe Sign Language
adt	adnyamathanha	Adnyamathanha
adu	aduge	Aduge
adw	amundava	Amundava
adx	amdo tibetan	Amdo Tibetan
ady	adyghé	Adyghé
adz	adzera	Adzera
aea	areba	Areba
aeb	tunisian arabic	Tunisian Arabic
aec	saidi arabic	Saidi Arabic
aed	argentine sign language	Argentine Sign Language
aee	northeast pashai	Northeast Pashai
aek	haeke	Haeke
ael	ambele	Ambele
aem	arem	Arem
aen	armenian sign language	Armenian Sign Language
aeq	aer	Aer
aer	eastern arrernte	Eastern Arrernte
aes	alsea	Alsea
aeu	akeu	Akeu
aew	ambakich	Ambakich
aey	amele	Amele
aez	aeka	Aeka
afa	afro-asiatiques, langues	Afro-Asiatiques, Langues
afb	gulf arabic	Gulf Arabic
afd	andai	Andai
afe	putukwam	Putukwam
afg	afghan sign language	Afghan Sign Language
afh	afrihili	Afrihili
afi	akrukay	Akrukay
afk	nanubae	Nanubae
afn	defaka	Defaka
afo	eloyi	Eloyi
afp	tapei	Tapei
afr	afrikaans	Afrikaans
afs	afro-seminole creole	Afro-Seminole Creole
aft	afitti	Afitti
afu	awutu	Awutu
afz	obokuitai	Obokuitai
aga	aguano	Aguano
agb	legbo	Legbo
agc	agatu	Agatu
agd	agarabi	Agarabi
age	angal	Angal
agf	arguni	Arguni
agg	angor	Angor
agh	ngelima	Ngelima
agi	agariya	Agariya
agj	argobba	Argobba
agk	isarog agta	Isarog Agta
agl	fembe	Fembe
agm	angaataha	Angaataha
agn	agutaynen	Agutaynen
ago	tainae	Tainae
agq	aghem	Aghem
