Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
zho	clas1255	Chinese languages	中文	Spoken & Written	Hans	1,296,041,185		sini1245	Yes, with caveat	Huge macrolanguage category with very distinct constituents -- try to include those as well as this, this usually signifies the written form, regardless of spoken language
eng	stan1293	English	English	Spoken & Written	Latn	1,243,492,288		macr1271	Yes	
cmn	mand1415	Mandarin Chinese	普通话	Spoken & Written	Hans	951,666,932	zho	mand1471	Yes, with caveat	Established variant of a macrolanguage -- many systems may label this as `zh` but it is much clearer to show both, even though there is overlap
hin	hind1269	Hindi	हिन्दी	Spoken & Written	Deva	694,325,639		hind1270	Yes	
spa	stan1288	Spanish	español	Spoken & Written	Latn	495,294,882		cast1243	Yes	
ara	arab1395	Arabic	العربية	Spoken & Written	Arab	345,771,433		arab1394	Yes, with caveat	Member languages are also good to include because of significant dialectal variations
fra	stan1290	French	français	Spoken & Written	Latn	314,723,138		glob1239	Yes	
ben	beng1280	Bengali	বাংলা	Spoken & Written	Beng	269,324,750		gaud1238	Yes	
por	port1283	Portuguese	português	Spoken & Written	Latn	237,766,546		braz1247	Yes	
msa	mala1538	Malayic	Melayu	Spoken & Written	Latn	215,343,873		mala1554	Yes	There is a language code for the individual language, but most usages will just use this
ind	indo1316	Indonesian	Indonesia	Spoken & Written	Latn	198,413,080	msa	stan1327	Yes	Well established variant of the macrolanguage
rus	russ1263	Russian	русский	Spoken & Written	Cyrl	192,723,175		east1426	Yes	
urd	urdu1245	Urdu	اردو	Spoken & Written	Arab	177,411,858		hind1270	Yes	
swa	swah1254	Swahili	Kiswahili	Spoken & Written	Latn	152,711,966		saba1282	Yes	There is a language code for the individual language, but most usages will just use this
deu	stan1295	German	Deutsch	Spoken & Written	Latn	129,811,629		glob1243	Yes	
pan	panj1256	Punjabi	ਪੰਜਾਬੀ	Spoken & Written	Guru	128,655,912	lah	east2727	Yes	
jpn	nucl1643	Japanese	日本語	Spoken & Written	Jpan	120,858,498		japa1258	Yes	
arb	stan1318	Standard Arabic	العربية الفصحى	Written	Arab	120,650,002	ara	arab1395	Yes, with caveat	To distinguish written dialect. Technically this is not a spoken language but virtually all literate Arabic dialect speakers use this for writing Arabic
lah	lahn1241	Panjabic	ਲਹਿੰਦੀ	Mostly Spoken	Arab	104,863,350		sind1278	Probably not	This language grouping is academically disputed
mar	mara1378	Marathi	मराठी	Spoken & Written	Deva	99,241,607		mode1268	Yes	
tel	telu1262	Telugu	తెలుగు	Spoken & Written	Telu	95,058,027		telu1265	Yes	
pnb	west2386	Western Panjabi	ਪੰਜਾਬੀ	Mostly Spoken	Arab	92,610,000	lah	lahn1241	Possibly	May overlap with "pa"
tam	tami1289	Tamil	தமிழ்	Spoken & Written	Taml	84,433,131		tami1300	Yes	
vie	viet1252	Vietnamese	tiếng Việt	Spoken & Written	Latn	83,878,768		viet1251	Yes	
