European Charter for Regional or Minority Languages
Source	https://www.coe.int/en/web/european-charter-regional-or-minority-languages/languages-covered
Status	24.09.2024

Language Code	Language Name	State Party	isoRegionCode	Locale Match	Notes	Level of protection under the Charter (Articles applying to the language concerned)
acy	Cypriot Maronite Arabic	Cyprus	CY			Part II (Article 7)
arg	Aragonese	Spain (in the Autonomoous Community of Aragon)	ES			Part II (Article 7)
ary	Darija	Spain (in the Autonomous City of Ceuta)	ES	FALSE		Part II (Article 7)
ast	Asturian	Spain (in the Principality of Asturias)	ES			Part II (Article 7)
ast	Leonese	Spain (in the Autonomous Community of Castille and Leon)	ES			Part II (Article 7)
ron/baya1255	Boyash	Hungary	HU	FALSE		Part II (Article 7) and Part III (Articles 8-14)
bel	Belarusian	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
bel	Belarusian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
ber/rif	Amazigh	Spain (in the Autonomoous City of Melilla)	ES			Part II (Article 7)
bul	Bulgarian	Hungary	HU	FALSE		Part II (Article 7.5)
bul	Bulgarian	Serbia	RS	FALSE		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Slovakia	SK	FALSE		Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
bul	Bulgarian	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
bunj1247	Bunjevac	Serbia	RS	FALSE		Part II (Article 7)
cat	Catalan	Spain (in the Autonomous Communities of Aragon, the Balearic Islands, Catalonia, Murcia [called Valencian] and the Valencian Community [called Valencian])	ES			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
ces	Czech	Austria	AT	FALSE		Part II (Article 7)
ces	Czech	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Croatia	HR	FALSE		Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Serbia	RS	FALSE		Part II (Article 7)
ces	Czech	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
ces	Czech	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
ces/czec1259	Moravian Croatian	Czech Republic	CZ			Part II (Article 7)
cor	Cornish	United Kingdom	GB			Part II (Article 7)
crh	Crimean Tatar	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
csb	Kashub	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
cym	Welsh	United Kingdom	GB			Part II (Article 7) and Part III (Articles 8-14)
dan	Danish	Germany	DE			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Bosnia and Herzegovina	BA	FALSE		Part II (Article 7) and Part III (Articles 8-14)
deu	German	Croatia	HR	FALSE		Part II (Article 7)
deu	German	Serbia	RS	FALSE		Part II (Article 7)
deu	German	Armenia	AM			Part II (Article 7)
deu	German	Czech Republic	CZ			Part II (Article 7) or Part II (Article 7) and Part III (Articles 8-14)*
deu	German	Denmark	DK			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Hungary	HU			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Poland	PL			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Romania	RO			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Slovakia	SK			Part II (Article 7) and Part III (Articles 8-14)
deu	German	Slovenia	SI			Part II (Article 7)
deu	German	Switzerland	CH			Part II (Article 7)
deu	German	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
dsb	Lower Sorbian	Germany	DE			Part II (Article 7) and Part III (Articles 8-14)
el	Greek	Hungary	HU	FALSE		Part II (Article 7.5)
el	Greek	Armenia	AM			Part II (Article 7) and Part III (Articles 8-14)
el	Greek	Romania	RO			Part II (Article 7)
el	Greek	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
eus	Basque	Spain (in the Autonomous Community of the Basque Country and the Foral Community of Navarre)	ES			Part II (Article 7) and Part III (Articles 8-14)
ext	Extremaduran	Spain (in the Autonomous Community of Extremadura)	ES			Part II (Article 7)
fax	Fala	Spain (in the Autonomous Community of Extremadura)	ES			Part II (Article 7)
fin	Finnish	Sweden	SE			Part II (Article 7) and Part III (Articles 8-14)
fit	Meänkieli	Sweden	SE			Part II (Article 7) and Part III (Articles 8-14)
fkv	Kven/Finnish	Norway	NO			Part II (Article 7)
fra	French	Switzerland	CH			Part II (Article 7)
frp	Franco-Provençal	Switzerland	CH	FALSE		Part II (Article 7)
frr	North Frisian	Germany	DE			Part II (Article 7) and Part III (Articles 8-14)
fry	Frisian	Netherlands	NL			Part II (Article 7) and Part III (Articles 8-14)
gag	Gagauz	Ukraine	UA			Part II (Article 7) and Part III (Articles 8-14)
gla	Scottish-Gaelic	United Kingdom	GB			Part II (Article 7) and Part III (Articles 8-14)
