# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
aar		
aar		
aar		
aaa		Ghotuọ;Otuo;Otwa
aab		Alomo-Atesu;Alumu;Alumu-Tesu;Arum-Cesu;Arum-Chessu;Arum-Tesu;Təsu
aac		
aad		Alai
aae		Albanese;Arbëresh;Arbëreshë;Arbëreshë Albanian;Arbërisht;Arbërishtja;Gjegje;Italo-Albanian;Tarbrisht
aae		Albanese;Arbëresh;Arbëreshë;Arbëreshë Albanian;Arbërisht;Arbërishtja;Gjegje;Italo-Albanian;Tarbrisht
aae		Albanese;Albanian, Arbereshe;Arbëresh;Arbëreshë;Arbërisht;Arbërishtja;Gjegje;Italo-Albanian;Tarbrisht
aaf		Aranatan;Arnatas;Eranadans
aaf		Aranatan;Arnatas;Eranadans
aag		
aah		Abu' Arapesh;Abu’ Arapesh;Ua
aai		Arifama-Miniafia;Miniafia;Miniafia-Arifama
aai		Arifama-Miniafia;Miniafia;Miniafia-Arifama
aai		Arifama-Miniafia;Miniafia;Miniafia-Arifama
aak		Aga pɨ’ne’;Angave;Ankave-Anga
aal		Afada;Afadee;Afadeh;Afaɗә;Affade;Kotoko;Mandagué;Mogari
aan		
aao		Algerian Saharan Arabic;Algerian Saharan Spoken Arabic;Saharan Arabic;Tamanghasset Arabic;Tamanrasset Arabic
aap		Arara Bravos;Pará Arára;Ugorongmo
aaq		Abenaki;Alnombak;Alnôbak;Eastern Abnaki;Wawenock
aas	aam	Aasá;Aramanik;Asak;Asax;Assa;Asá;Laramanik
aat		Arberichte;Arbërisht;Arvanitic;Arvanitika;Arvanitika Albanian
aau		Green River
aaw		Arawe;Arove;Pililo
aax		Dumut;Kambon;Kwem;Mandobbo;Nub;Wambon;Wambon Gunung
aaz		Timor Amarasi;Uab Meto
abk		Abkhazian;Abxazo;Apsshwa;Apsua Byzshwa
abk		Abkhazian;Abxazo;Apsshwa;Apsua Byzshwa
abk		Abkhazian;Abxazo;Apsshwa;Apsua Byzshwa
aba		Abbey;Abbé;Abi
abb		Abaw;Abo;Bo;Bon
abc		Ambala Agta;Ambala Ayta;Ambala Sambal;Ayta Ambala
abd		Abiyan;Agta;Camarinas Norte Agta
abe		Abenaki;Abenaqui;Alnombak;Alnôbak;Saint Francis;Western Abnaki
abf		
abg		Abaga;Vaga;Wagaba
abh		Arabi;Bukhara Arabic;Buxara Arabic;Central Asian;Jugari;Tajiki Arabic;Tajiki Spoken Arabic
abi		Abiji;Enyembe lɛɛ Ogbru
abj		Aka-Beada;Aka-Biada;Bea;Beada;Biada;Bogijiab;Bojigiyab;Bojigniji;Bojigyab
abl		Abung;Lampong
abl		Abung;Lampong
abm		Abanyum;Bakor;Befun;Bofon;Mbofon
abn		Abuan
