### Metadata ###				
#topic		MacOS System Language		
#url		https://www.apple.com/macos/feature-availability/#system-language		
#dateAccessed		7/3/26		
#author		Apple		
#notes				
				
Language Code	Language	 Locale	Writing System	notes
ara/arb	Arabic			
cat	Catalan			
zho/cmn	Chinese, Simplified			
zho/yue	Chinese, Traditional 	Hong Kong		
zho/cmn	Chinese, Traditional 	Taiwan		
hbs/hrv	Croatian			
ces	Czech			
dan	Danish			
nld	Dutch			
eng	English 	Australia		
eng	English 	Canada		
eng	English 	India		
eng	English 	Ireland		
eng	English 	New Zealand		
eng	English 	Singapore		
eng	English 	South Africa		
eng	English 	United Kingdom		
eng	English 	United States		
fin	Finnish			
fra	French 	Canada		
fra	French 	France		
deu	German 	Germany		
ell	Greek			
heb	Hebrew			
hin	Hindi			
hun	Hungarian			
msa/ind	Indonesian			
ita	Italian			
jpn	Japanese			
kor	Korean			
msa/zsm	Malay			
nor/nob	Norwegian			
pol	Polish			
por	Portuguese 	Brazil		
por	Portuguese 	Portugal		
ron	Romanian			
rus	Russian			
slk	Slovak			
slv	Slovenian			
spa	Spanish 	Latin America		419
spa	Spanish 	Mexico		
spa	Spanish 	Spain		
spa	Spanish 	United States		
swe	Swedish			
tha	Thai			
tur	Turkish			
ukr	Ukrainian			
vie	Vietnamese			
