### Metadata ###			
#topic	Windows 11 provides an official language pack to to view menus, dialog boxes, and supported apps and websites	Translation of Windows 11 User Interface	
#url	https://support.microsoft.com/en-US/Windows/Hardware/Input-Devices/language-packs-for-windows#windowsversion=windows_11		
#dateAccessed	6/30/26		
#author	Microsoft		
#notes			
			
Language Code	Language	Locale	Writing System
afr	Afrikaans		
sqi	Albanian		
amh	Amharic		
ara	Arabic		
hye	Armenian		
asm	Assamese		
aze	Azerbaijani 		Latin
ben	Bangla 	India	
eus	Basque		
bel	Belarusian		
hbs/bos	Bosnian 		Latin
bul	Bulgarian		
cat	Catalan		
chr	Cherokee 		Cherokee
zho/cmn	Chinese Simplified		
zho/cmn	Chinese Traditional		
hbs/hrv	Croatian		
ces	Czech		
dan	Danish		
nld	Dutch		
eng	English		
est	Estonian		
fil	Filipino		
fin	Finnish		
fra	French		
glg	Galician		
kat	Georgian		
deu	German		
ell	Greek		
guj	Gujarati		
heb	Hebrew		
hin	Hindi		
hun	Hungarian		
isl	Icelandic		
msa/ind	Indonesian		
gle	Irish		
ita	Italian		
jpn	Japanese		
kan	Kannada		
kaz	Kazakh		
khm	Khmer		
kok	Konkani		
kor	Korean		
lav	Latvian		
lit	Lithuanian		
ltz	Luxembourgish		
mkd	Macedonian		
msa/zlm	Malay 	Malaysia, Brunei, and Singapore	
mal	Malayalam		
mlt	Maltese		
mri	Maori		
mar	Marathi		
nep	Nepali		
nor/nob	Norwegian Bokmål		
nor/nno	Norwegian Nynorsk		
ori	Odia		
fas	Persian		
pol	Polish		
por	Portuguese 	Brazil	
por	Portuguese 	Portugal	
lah/pan	Punjabi 		Arabic
que	Quechua		
ron	Romanian		
rus	Russian		
gla	Scottish Gaelic		
hbs/srp	Serbian	Bosnia and Herzegovina	Cyrillic
hbs/srp	Serbian	Serbia	Cyrillic
hbs/srp	Serbian 		Latin
slk	Slovak		
slv	Slovenian		
spa	Spanish		
swe	Swedish		
tam	Tamil 	India and Sri Lanka	
tat	Tatar		
tel	Telugu		
tha	Thai		
tur	Turkish		
ukr	Ukrainian		
urd	Urdu		
uig	Uyghur		
uzb	Uzbek 		Latin
cat/vale1252	Valencian		
vie	Vietnamese		
cym	Welsh		
