unique_join_code	Eth_Language Status
1mk-sht	7.7
aaa	6
aab	6
aac	6.5
aad	6
aae	6.5
aaf	6.5
aag	6
aah	6.5
aai	5
aak	5
aal	6
aam	10
aan	8.5
aao	6
aap	6
aaq	9
aar	2
aas	8.5
aat	7
aau	5
aaw	4
aax	6
aaz	5
aba	5
abb	6
abc	6
abd	6
abe	8.5
abf	7
abg	8.5
abh	6.5
abi	5
abj	10
abk	2
abl	6
abm	6
abn	6
abo	6
abp	5
abq	4
abr	5
abs	3
abt	5
abu	6
abv	3
abw	6
abx	4
aby	5
abz	6
aca	6.5
acb	6
acd	5
ace	3
acf	5
ach	5
aci	10
ack	10
acl	10
acm	3
acn	7
acp	6
acq	6
acr	5
acs	10
act	5
acu	5
acv	8.5
acw	6
acx	5
acy	7
acz	5
ada	4
adb	6
add	6
ade	5
adf	6
adg	8.5
adh	5
adi	5
adj	5
adl	5
adn	6
ado	6
adp	6
adq	6.5
adr	6
ads	6.5
adt	8.5
adu	6
adw	6.5
adx	6
ady	2
adz	4
aea	10
aeb	3
aec	6
aed	6
aee	6
aek	8.5
ael	6
aem	8.5
aen	6
aeq	6.5
aer	4
aes	7.7
aeu	7
aew	7
aey	5
aez	5
afb	6
afd	6
afe	6
afg	5
afh	7.7
afi	6
afk	6
afn	8.5
afo	6
afp	6
afr	1
afs	8
aft	8
afu	5
afz	6.5
aga	9
agb	6
agc	6
agd	5
age	5
agf	6.5
agg	5
agh	6
agi	6
agj	6.5
agk	8.5
agl	6
agm	5
agn	5
ago	6
agq	5
agr	4
ags	6
agt	5
agu	4
agv	8
agw	5
agx	6
agy	5
agz	6
aha	5
ahb	6
ahg	6
ahh	6.5
ahi	6
ahk	3
ahl	5
ahm	6
ahn	6
aho	9
ahp	6
ahr	6
ahs	6
aht	8
aia	5
aib	6.5
aic	8
aid	10
aie	7
aif	6
aig	6
aih	6.5
aii	7.7
aij	7
aik	6
ail	7
aim	5
ain	8.5
aio	6.5
aip	8.5
aiq	6
air	6
ais	8.5
ait	10
aiw	5
aix	6
aiy	6
aja	8.5
ajg	5
aji	3
ajn	8.5
ajp	3
ajt	7
aju	7
ajw	10
ajz	4
aka	3
akb	5
akc	6.5
akd	6
ake	6.5
akf	6
akg	6
akh	5
aki	6
akj	10
akk	7.7
akl	5
akm	10
ako	8.5
akp	5
akq	7
akr	8.5
aks	6
akt	6
aku	6
akv	6.5
akw	6.5
akx	10
aky	10
akz	7
ala	6
alc	8.5
ald	5
ale	7
alf	6
alh	8.5
ali	6
alj	5
alk	6
all	6.5
alm	6.5
aln	2
alo	6.5
alp	5
alq	6.5
alr	8.5
als	1
alt	2
alu	5
alw	4
alx	6
aly	5
alz	5
ama	9
amb	6
amc	7
ame	5
amf	6
amg	8.5
amh	1
ami	5
amj	6
amk	6.5
aml	6
amm	5
amn	4
amo	6
amp	5
amq	8.5
amr	7
ams	7
amt	6.5
amu	4
amv	6
amw	7
amx	5
amy	8
amz	10
ana	9
anb	10
anc	6
and	6.5
ane	6.5
anf	7
ang	7.7
anh	6
ani	6.5
anj	6
ank	6.5
anl	6.5
anm	5
ann	5
ano	7
anp	5
anq	6
anr	6.5
ans	10
ant	8.5
anu	5
anv	5
anw	4
anx	6
any	5
anz	4
aoa	6
aob	8.5
aoc	6.5
aod	6
aoe	5
aof	6
aog	6
aoh	10
aoi	6
aoj	5
aok	8.5
aol	6
aom	5
aon	7
aor	10
aos	6
aot	7
aou	8.5
aox	8
aoz	5
apb	5
apc	3
apd	3
ape	6.5
apf	4
apg	6
aph	6.5
api	8.5
apj	7
apk	8.5
apl	9
apm	6.5
apn	5
apo	6
app	5
apq	10
apr	4
aps	5
apt	6.5
apu	6.5
apv	7.7
apw	6.5
apx	8.5
apy	5
apz	5
aqc	6.5
aqd	6
aqg	6
aqm	6
aqn	7
aqp	7.7
aqr	8
aqz	8
ara	1
arb	1
arc	7.7
ard	8.5
are	4
arg	6.5
arh	5
ari	8.5
arj	9
ark	8.5
arl	8
arn	4
aro	6.5
arp	6.5
arq	3
arr	7
ars	3
aru	7.7
arv	6
arw	8
arx	8
ary	3
arz	3
asa	6
asb	8
asc	6
asd	6
ase	5
asf	5
asg	5
ash	10
asi	7
asj	6
ask	6
asl	6.5
asm	2
asn	6.5
aso	5
asp	6
asq	6
asr	6
ass	6
ast	6.5
asu	7
asv	6
asw	6
asx	6
asy	7
asz	6.5
ata	4
atb	5
atc	7.7
atd	5
ate	7
atg	5
ati	5
atj	5
atk	6
atl	7
atm	8.5
atn	7
ato	6.5
atp	6
atq	5
atr	5
ats	8.5
att	5
atu	6
atv	6.5
atw	9
atx	8.5
aty	5
atz	8.5
aua	8.5
aub	6
auc	6.5
aud	8
aue	5
aug	6
auh	5
aui	5
auj	8
auk	6
aul	6
aum	6
aun	6
auo	7.7
aup	6
auq	7
aur	6
aut	7
auu	5
auw	8
aux	10
auy	5
auz	8
ava	4
avb	6
avd	7
ave	10
avi	5
avk	7.7
avl	6
avm	10
avn	5
avo	10
avs	10
avt	5
avu	5
avv	8.5
awa	5
awb	5
awc	6
awe	6.5
awg	10
awh	6.5
awi	5
awk	9
awm	6.5
awn	4
awo	6
awr	7
aws	6.5
awt	6.5
awu	5
awv	6
aww	6
awx	6
awy	6.5
axb	10
axe	10
axg	9
axk	5
axl	10
axm	7.7
axx	6.5
aya	6
ayb	6
ayc	6
ayd	10
aye	6
ayg	6
ayh	6
ayi	6
ayk	6
ayl	3
aym	7.7
ayn	6
ayo	5
ayp	6
ayq	6
ayr	6.5
ays	8.5
ayt	6.5
ayu	8
ayy	10
ayz	5
aza	6
azb	3
azd	6.5
aze	7.7
azg	6.5
azj	1
azm	7
azn	5
azo	5
azt	6.5
azz	5
baa	5
bab	6
bac	6
bae	8.5
baf	6
bag	6
bah	6
baj	6
bak	4
bal	7.7
bam	4
ban	5
bao	5
bap	6.5
bar	5
bas	5
bau	6
bav	5
baw	6
bax	3
bay	6.5
bba	3
bbb	5
bbc	5
bbd	6
bbe	6
bbf	6
bbg	6
bbh	6
bbi	6.5
bbj	5
bbk	5
bbl	7
bbm	6
bbn	6
bbo	6
bbp	6
bbq	6
bbr	5
bbs	8.5
bbt	6
bbu	6
bbv	6
bbw	6
bbx	8
bby	6
bbz	8.5
bca	6
bcb	6.5
bcc	4
bcd	6.5
bce	6
bcf	5
bcg	6
bch	4
bci	5
bcj	8
bck	8
bcl	3
bcm	5
bcn	6
bco	5
bcp	6
bcq	4
bcr	7
bcs	6
bct	6
bcu	4
bcv	6
bcw	5
bcx	7.7
bcy	5
bcz	6.5
bda	6
bdb	6.5
bdc	6.5
bdd	5
bde	6
bdf	6
bdg	6.5
bdh	4
bdi	4
bdj	7
bdk	7
bdl	6.5
bdm	6
bdn	8.5
bdo	6
bdp	6
bdq	5
bdr	6.5
bds	6
bdt	6
bdu	5
bdv	5
bdw	6.5
bdx	8
bdy	7
bdz	9
bea	8
beb	6
bec	6
bed	6.5
bee	6.5
bef	5
beg	7
beh	5
bei	6.5
bej	5
bek	6
bel	1
bem	2
ben	1
beo	5
bep	6.5
beq	5
ber	7.7
bes	6
bet	5
beu	6
bev	5
bew	6.5
bex	4
bey	6
bez	5
bfa	3
bfb	6
bfc	6
bfd	5
bfe	6.5
bff	6
bfg	6
bfh	6
bfi	5
bfj	6
bfk	6
bfl	6
bfm	6
bfn	6
bfo	5
bfp	6.5
bfq	5
bfr	7
bfs	6
bft	5
bfu	6.5
bfw	6
bfx	6
bfy	6
bfz	6
bga	8.5
bgb	6
bgc	6
