ISO Code	Language Name	Population Size	Vitality	Digital Support
aaa	Ghotuo	Less than 10K	Stable	Emerging
aab	Arum	10K to 1M	Stable	Still
aac	Ari	None	Endangered	Still
aad	Amal	Less than 10K	Stable	Still
aae	Arbëreshë Albanian	10K to 1M	Endangered	Ascending
aaf	Aranadan	Less than 10K	Endangered	Still
aag	Ambrak	Less than 10K	Endangered	Still
aah	Abu’	Less than 10K	Endangered	Still
aai	Miniafia Oyan	Less than 10K	Stable	Emerging
aak	Ankave	Less than 10K	Stable	Emerging
aal	Afade	10K to 1M	Stable	Emerging
aan	Anambé	None	Endangered	Still
aao	Arabic, Algerian Saharan	10K to 1M	Stable	Still
aap	Pará Arara	Less than 10K	Endangered	Still
aaq	Abenaki, Eastern	None	Endangered	Emerging
aar	Afar	1M to 1B	Institutional	Ascending
aas	Aasáx	None	Endangered	Still
aat	Arvanitika Albanian	10K to 1M	Endangered	Emerging
aau	Abau	Less than 10K	Stable	Emerging
aaw	Solong	Less than 10K	Stable	Still
aax	Mandobo Atas	Less than 10K	Endangered	Still
aaz	Amarasi	10K to 1M	Stable	Emerging
aba	Abé	10K to 1M	Stable	Emerging
abb	Bankon	10K to 1M	Endangered	Emerging
abc	Ambala Ayta	Less than 10K	Endangered	Emerging
abd	Manide	Less than 10K	Stable	Emerging
abe	Western Abenaki	None	Endangered	Emerging
abf	Abai Sungai	None	Endangered	Still
abg	Wagama	Less than 10K	Endangered	Still
abh	Arabic, Tajiki	10K to 1M	Endangered	Emerging
abi	Abidji	10K to 1M	Stable	Emerging
abj	Aka-Bea	None	Extinct	Still
abk	Abkhaz	10K to 1M	Institutional	Vital
abl	Lampung Nyo	10K to 1M	Endangered	Emerging
abm	Abanyom	10K to 1M	Stable	Emerging
abn	Abua	10K to 1M	Stable	Ascending
abo	Abon	Less than 10K	Endangered	Still
abp	Abellen Ayta	Less than 10K	Endangered	Ascending
abq	Abaza	10K to 1M	Stable	Emerging
abr	Abron	1M to 1B	Stable	Ascending
abs	Ambonese Malay	1M to 1B	Institutional	Ascending
abt	Ambulas	10K to 1M	Stable	Emerging
abu	Abure	10K to 1M	Stable	Emerging
abv	Baharna Arabic	10K to 1M	Institutional	Emerging
abw	Pal	Less than 10K	Stable	Still
abx	Inabaknon	10K to 1M	Stable	Ascending
aby	Aneme Wake	Less than 10K	Stable	Emerging
abz	Abui	10K to 1M	Stable	Emerging
aca	Achagua	Less than 10K	Endangered	Emerging
acb	Áncá	None	Stable	Still
acd	Gikyode	10K to 1M	Stable	Ascending
ace	Aceh	1M to 1B	Endangered	Ascending
acf	Lesser Antillean French Creole	10K to 1M	Stable	Ascending
ach	Acholi	1M to 1B	Institutional	Ascending
aci	Aka-Cari	None	Extinct	Still
ack	Aka-Kora	None	Extinct	Still
acl	Akar-Bale	None	Extinct	Still
acm	Mesopotamian Arabic	1M to 1B	Institutional	Ascending
acn	Achang	10K to 1M	Stable	Emerging
acp	Acipa, Eastern	Less than 10K	Stable	Emerging
acq	Arabic, Ta’izzi-Adeni	1M to 1B	Institutional	Emerging
acr	Achi	10K to 1M	Endangered	Ascending
acs	Acroá	None	Extinct	Still
act	Achterhoeks	10K to 1M	Stable	Emerging
acu	Achuar-Shiwiar	Less than 10K	Stable	Ascending
acv	Achumawi	None	Endangered	Emerging
acw	Arabic, Hijazi	1M to 1B	Stable	Emerging
acx	Omani Arabic	1M to 1B	Stable	Emerging
acy	Cypriot Arabic	Less than 10K	Endangered	Emerging
acz	Acheron	10K to 1M	Stable	Emerging
ada	Dangme	1M to 1B	Institutional	Ascending
adb	Atauran	10K to 1M	Stable	Still
add	Lidzonka	Less than 10K	Stable	Emerging
ade	Adele	10K to 1M	Stable	Emerging
adf	Arabic, Dhofari	10K to 1M	Stable	Still
adg	Andegerebinha	None	Endangered	Still
adh	Jopadhola	10K to 1M	Stable	Ascending
adi	Adi	10K to 1M	Stable	Ascending
adj	Adioukrou	10K to 1M	Stable	Emerging
adl	Galo Adi	10K to 1M	Stable	Ascending
adn	Adang	Less than 10K	Endangered	Still
ado	Abu	Less than 10K	Endangered	Still
adq	Adangbe	Less than 10K	Endangered	Emerging
adr	Adonara	10K to 1M	Stable	Still
ads	Adamorobe Sign Language	None	Stable	Still
adt	Adnyamathanha	Less than 10K	Endangered	Still
adu	Aduge	Less than 10K	Endangered	Still
adw	Amundava	None	Endangered	Still
adx	Tibetan, Amdo	1M to 1B	Stable	Ascending
ady	Adyghe	10K to 1M	Stable	Ascending
adz	Adzera	10K to 1M	Institutional	Emerging
aea	Areba	None	Extinct	Emerging
aeb	Tunisian Arabic	1M to 1B	Institutional	Vital
aec	Arabic, Sa’idi	1M to 1B	Stable	Emerging
aed	Argentine Sign Language	10K to 1M	Stable	Emerging
aee	Pashai, Northeast	10K to 1M	Stable	Still
aek	Haeke	Less than 10K	Endangered	Still
ael	Ambele	Less than 10K	Stable	Emerging
aem	Arem	Less than 10K	Endangered	Emerging
aen	Armenian Sign Language	Less than 10K	Stable	Emerging
aeq	Aer	Less than 10K	Endangered	Emerging
aer	Eastern Arrernte	Less than 10K	Institutional	Ascending
aes	Alsea	None	Extinct	Emerging
aeu	Akeu	10K to 1M	Stable	Ascending
aew	Ambakich	Less than 10K	Endangered	Still
aey	Amele	Less than 10K	Endangered	Emerging
aez	Aeka	Less than 10K	Stable	Still
afb	Gulf Arabic	1M to 1B	Institutional	Ascending
afd	Andai	Less than 10K	Stable	Still
afe	Utugwang-Irungene-Afrike	10K to 1M	Stable	Emerging
afg	Afghan Sign Language	10K to 1M	Stable	Still
afi	Chini	None	Endangered	Still
afk	Nanubae	Less than 10K	Endangered	Still
afn	Defaka	Less than 10K	Endangered	Emerging
afo	Ajiri	10K to 1M	Endangered	Still
afp	Tapei	Less than 10K	Stable	Still
afr	Afrikaans	1M to 1B	Institutional	Vital
afs	Afro-Seminole Creole	Less than 10K	Endangered	Emerging
aft	Afitti	Less than 10K	Endangered	Still
afu	Awutu	10K to 1M	Stable	Still
afz	Obokuitai	Less than 10K	Endangered	Still
aga	Aguano	None	Extinct	Still
agb	Legbo	10K to 1M	Stable	Still
agc	Agatu	10K to 1M	Stable	Emerging
agd	Agarabi	10K to 1M	Stable	Emerging
age	Angal	10K to 1M	Stable	Still
agf	Arguni	Less than 10K	Endangered	Still
agg	Angor	Less than 10K	Endangered	Emerging
agh	Ngelima	10K to 1M	Stable	Emerging
agi	Agariya	10K to 1M	Stable	Still
agj	Argobba	10K to 1M	Endangered	Emerging
agk	Agta, Katubung	None	Endangered	Still
agl	Fembe	Less than 10K	Endangered	Still
agm	Angaataha	Less than 10K	Stable	Emerging
agn	Agutaynen	10K to 1M	Stable	Ascending
ago	Tainae	Less than 10K	Stable	Emerging
agq	Aghem	10K to 1M	Stable	Ascending
agr	Awajún	10K to 1M	Institutional	Ascending
ags	Esimbi	10K to 1M	Stable	Ascending
agt	Central Cagayan Agta	Less than 10K	Stable	Emerging
agu	Awakateko	10K to 1M	Stable	Ascending
agv	Dumagat, Remontado	Less than 10K	Endangered	Emerging
agw	Kahua	Less than 10K	Stable	Emerging
agx	Aghul	10K to 1M	Stable	Emerging
agy	Southern Alta	Less than 10K	Endangered	Emerging
agz	Agta, Mt. Iriga	Less than 10K	Endangered	Still
aha	Ahanta	10K to 1M	Stable	Ascending
ahb	Axamb	Less than 10K	Endangered	Emerging
ahg	Qimant	Less than 10K	Endangered	Emerging
ahh	Aghu	Less than 10K	Endangered	Still
ahi	Aizi, Tiagbamrin	Less than 10K	Stable	Still
ahk	Akha	10K to 1M	Institutional	Ascending
ahl	Igo	Less than 10K	Stable	Emerging
ahm	Aizi, Mobumrin	Less than 10K	Endangered	Still
ahn	Ahan	Less than 10K	Endangered	Still
aho	Ahom	None	Endangered	Emerging
ahp	Aizi, Aproumu	Less than 10K	Endangered	Still
ahr	Ahirani	1M to 1B	Stable	Ascending
ahs	Ashe	10K to 1M	Stable	Emerging
aht	Ahtena	None	Endangered	Emerging
aia	Arosi	10K to 1M	Institutional	Ascending
aib	Ainu	10K to 1M	Endangered	Emerging
aic	Ainbai	Less than 10K	Endangered	Still
aid	Alngith	None	Extinct	Still
aie	Amara	Less than 10K	Endangered	Still
aif	Agi	Less than 10K	Stable	Still
aig	Leeward Caribbean English Creole	10K to 1M	Stable	Emerging
aih	Ai-Cham	Less than 10K	Endangered	Still
aii	Assyrian Neo-Aramaic	10K to 1M	Endangered	Ascending
aij	Inter-Zab Jewish Neo-Aramaic	Less than 10K	Endangered	Still
aik	Akye	Less than 10K	Endangered	Still
ail	Eibela	Less than 10K	Stable	Still
aim	Aimol	Less than 10K	Endangered	Emerging
ain	Ainu	None	Endangered	Ascending
aio	Aiton	Less than 10K	Endangered	Emerging
aip	Burumakok	None	Endangered	Still
aiq	Aimaq	1M to 1B	Stable	Still
air	Airoran	Less than 10K	Endangered	Still
ait	Arikem	None	Extinct	Still
aiw	Aari	10K to 1M	Institutional	Emerging
aix	Aighon	Less than 10K	Stable	Still
aiy	Ali	10K to 1M	Stable	Still
aja	Aja	Less than 10K	Endangered	Emerging
ajg	Aja	1M to 1B	Stable	Ascending
aji	Ajië	Less than 10K	Stable	Emerging
ajn	Andajin	None	Endangered	Still
ajs	Algerian Jewish Sign Language	None	Endangered	Still
aju	Arabic, Judeo-Moroccan	10K to 1M	Endangered	Emerging
ajw	Ajawa	None	Extinct	Still
ajz	Amri Karbi	10K to 1M	Endangered	Emerging
aka	Akan	1M to 1B	Institutional	Vital
akb	Batak Angkola	10K to 1M	Endangered	Emerging
akc	Mpur	Less than 10K	Endangered	Emerging
akd	Ukpet-Ehom	10K to 1M	Endangered	Still
ake	Akawaio	Less than 10K	Stable	Ascending
akf	Akweya	10K to 1M	Stable	Emerging
akg	Anakalangu	10K to 1M	Stable	Still
akh	Angal Heneng	10K to 1M	Stable	Emerging
aki	Aiome	Less than 10K	Stable	Still
akj	Aka-Jeru	None	Endangered	Emerging
akl	Aklanon	10K to 1M	Institutional	Ascending
akm	Aka-Bo	None	Extinct	Still
ako	Akurio	None	Endangered	Emerging
akp	Siwu	10K to 1M	Stable	Emerging
akq	Ak	None	Endangered	Still
akr	Soro-n Raki	Less than 10K	Endangered	Emerging
aks	Akaselem	10K to 1M	Stable	Still
akt	Akolet	Less than 10K	Stable	Still
aku	Akum	Less than 10K	Stable	Emerging
akv	Akhvakh	Less than 10K	Endangered	Emerging
akw	Akwa	10K to 1M	Endangered	Emerging
akx	Aka-Kede	None	Extinct	Still
aky	Aka-Kol	None	Extinct	Still
akz	Alabama	Less than 10K	Endangered	Emerging
ala	Alago	10K to 1M	Stable	Emerging
alc	Qawasqar	None	Endangered	Emerging
ald	Alladian	10K to 1M	Stable	Emerging
ale	Aleut	Less than 10K	Endangered	Ascending
alf	Elege	10K to 1M	Stable	Emerging
alh	Alawa	None	Endangered	Still
ali	Amaimon	Less than 10K	Stable	Ascending
alj	Alangan	10K to 1M	Endangered	Emerging
alk	Alak	10K to 1M	Stable	Still
all	Allar	Less than 10K	Endangered	Still
alm	Amblong	None	Extinct	Still
aln	Gheg Albanian	1M to 1B	Institutional	Ascending
alo	Larike-Wakasihu	Less than 10K	Endangered	Still
alp	Alune	10K to 1M	Endangered	Ascending
alq	Algonquin	Less than 10K	Endangered	Ascending
alr	Alutor	Less than 10K	Endangered	Emerging
als	Tosk Albanian	1M to 1B	Institutional	Vital
alt	Southern Altai	10K to 1M	Institutional	Ascending
alu	Areare	10K to 1M	Stable	Emerging
alw	Alaba-K’abeena	10K to 1M	Stable	Still
alx	Mol	Less than 10K	Endangered	Still
aly	Alyawarr	Less than 10K	Endangered	Ascending
alz	Alur	1M to 1B	Institutional	Ascending
ama	Amanayé	None	Endangered	Still
amb	Ambo	Less than 10K	Endangered	Still
amc	Amahuaca	Less than 10K	Endangered	Emerging
ame	Yanesha’	Less than 10K	Stable	Ascending
amf	Hamer-Banne	10K to 1M	Stable	Ascending
amg	Amurdak	None	Endangered	Still
amh	Amharic	1M to 1B	Institutional	Vital
ami	Amis	10K to 1M	Endangered	Ascending
amj	Amdang	10K to 1M	Stable	Emerging
amk	Ambai	10K to 1M	Endangered	Ascending
aml	War-Jaintia	10K to 1M	Stable	Still
amm	Sawiyanu	Less than 10K	Stable	Emerging
amn	Amanab	Less than 10K	Endangered	Emerging
amo	Amo	10K to 1M	Stable	Still
amp	Alamblak	Less than 10K	Endangered	Emerging
amq	Amahai	None	Endangered	Still
amr	Amarakaeri	Less than 10K	Endangered	Ascending
ams	Amami-Oshima, Southern	Less than 10K	Endangered	Emerging
amt	Amto	Less than 10K	Stable	Still
amu	Guerrero Amuzgo	10K to 1M	Stable	Ascending
amv	Ambelau	Less than 10K	Endangered	Still
amw	Western Neo-Aramaic	10K to 1M	Endangered	Emerging
amx	Anmatyerr	Less than 10K	Stable	Emerging
amy	Ami	None	Endangered	Still
amz	Atampaya	None	Extinct	Emerging
ana	Andaqui	None	Endangered	Emerging
anb	Andoa	None	Extinct	Emerging
anc	Ngas	10K to 1M	Stable	Ascending
and	Ansus	Less than 10K	Endangered	Still
