Short Name	Name	Endonym	Headquarters	Parent	URL
UN	United Nations		001		https://www.un.org/
Unicode	Unicode Consortium		US		https://home.unicode.org/
CLDR	Common Locale Data Repository		US	Unicode	https://cldr.unicode.org/
UNdata	UNdata		US	UN	https://data.un.org
Afrobarometer	Afrobarometer		GH		https://www.afrobarometer.org
INE Spain	Instituto Nacional de Estadística		ES		https://www.ine.es/
ISTAT	Istituto nazionale di statistica		IT		https://www.istat.it/
Internet Archive	Internet Archive		US		https://web.archive.org
SingStat	Department of Statistics, Ministry of Trade & Industry, Republic of Singapore		SG		https://www.singstat.gov.sg/
US Census Bureau	United States Census Bureau		US		https://www.census.gov
CensusIndia	Office of the Registrar General & Census Commissioner, India	भारत के महारजिस्ट्रार एवं जनगणना आयुक्त का कार्यालय	IN		http://www.censusindia.gov.in
StatCan	Statistics Canada	Statistique Canada	CA		https://www.statcan.gc.ca/
NSO Nepal	National Statistics Office	राष्ट्रिय तथ्याङ्क कार्यालय	NP		https://nsonepal.gov.np/
LISGIS	Liberia Institute of Statistics & Geo-Information Services		LR		https://lisgis.gov.lr
Rosstat	Federal State Statistics Service	Федеральная служба государственной статистики	RU		https://eng.rosstat.gov.ru/
BHAS	Agency for Statistics of Bosnia and Herzegovina	Agencija za statistiku Bosne i Hercegovine	BA		https://bhas.gov.ba/
INE Chile	Instituto Nacional de Estadísticas		CL		https://www.ine.gob.cl/
ASKdata	Kosovo Agency of Statistics	Agjencia e Statistikave të Kosovës	XK		https://askdata.rks-gov.net
TWB	Translators Without Borders		US		https://translatorswithoutborders.org/
AzStat	State Statistical Committee of the Republic of Azerbaijan	Azərbaycan Respublikasi Dövlət Statistika Komitəsi	AZ		https://www.stat.gov.az/
MOE China	Ministry of Education of People's Republic of China	中华人民共和国教育部	CN		http://www.moe.gov.cn
Destatis	Statistisches Bundesamt	Statistische Ämter des Bundes und der Länder	DE		https://www.statistischebibliothek.de/
INS Guinée	Institut National de la Statistique		GN		https://www.stat-guinee.org/
BPS Indonesia	Statistics Indonesia (BPS)	Badan Pusat Statistik	ID		https://www.bps.go.id/
PBS Pakistan	Pakistan Bureau of Statistics	پاکستان بیورو آف سٹیٹسٹکس	PK		https://www.pbs.gov.pk
The Language Gulper	The Language Gulper		AR		https://www.languagesgulper.com
INS Cameroon	Institut National de la Statistique		CM		https://ins-cameroun.cm/
Wikipedia	Wikipedia		US		https://en.wikipedia.org
AXL	L'aménagement linguistique dans le monde at CEFAN, Université Laval		CA		https://www.axl.cefan.ulaval.ca/
INE Paraguay	Instituto Nacional de Estadística		PY		https://www.ine.gov.py/
ABS	Australian Bureau of Statistics		AU		https://www.abs.gov.au/
WorldAtlas	World Atlas		CA		https://www.worldatlas.com/
ZamStats	Zambia Statistics Agency		ZM		https://www.zamstats.gov.zm/
