#url	https://www.ohchr.org/en/search?f%5B0%5D=event_type_taxonomy_term_name%3AUniversal%20Declaration%20of%20Human%20Rights		https://www.ohchr.org/en/human-rights/universal-declaration/translations/
#dateAccessed	2025-04-11		
#notes	Languages matched to language codes manually		
Language Path	Name	Variant	DocumentURL
som/afas1238	Af Marka		af-marka
ymm	Maay		maay
ful/fuc	Peuhl		peuhl-0
acf	Kwéyòl		kweyol
jam	Patwa		patwa
mfe	Mauritian Kreol		mauritian-kreol
jra	Jarai		jarai
btk	Bataknese		bataknese
msa/abs	Ambonese		ambonese
msa/bjn	Banjarnese		banjarnese
msa/min	Minangnese		minangnese
msa/pmy	Papuan		papuan
cma	Maa		maa
hau	Haoussa		haoussa
dje	Zarma		zarma
mwl	Mirandés		mirandes
cat/vale1252	Valencian		valencian
guk	Gumuz		gumuz
kbr	Kafi noono		kafi-noono
sid	Sidaamu Afoo		sidaamu-afoo
kon/ktu	Kituba		kituba
sdb/mis	Macho		macho
sdh/feyl1238	Faili Kurd		faili-kurd
ave	Avestan		avestan
kur/ckb	Bahdidan		bahdidan
#tuk	Turkmen		turkmen-0
sux	Sumerian		sumerian
sdb	Shabaki		shabaki
mid	Mandaic		mandaic
brb/krr	Krung		krung
aka	Akan		akan
oto	Ñahñú (Otomí)		nahnu-otomi
tsz	Purhépecha		purhepecha
ndo	Oshiwambo (Ndonga)		oshiwambo-ndonga
epo	Esperanto		esperanto
kek	Q'echi/Kekchi		qechikekchi
quc	K'iche' (Quiché)		kiche-quiche
hus	Tének (Huasteco)		tenek-huasteco
ina	Interlingua		interlingua
ido	Ido		ido
abk	Abkhaz		abkhaz
acu	Achuar-Shiwiar		achuar-shiwiar
afr	Afrikaans		afrikaans
agr	Aguaruna		aguaruna
syr	Assyrian (Atoraya)		assyrian-atoraya
ajg	Adja		adja
wwa	Wama		wama
sqi	Albanian		albanian
amc	Amahuaca		amahuaca
ame	Amuesha-Yanesha		amuesha-yanesha
amh	Amharic		amharic
amr	Amarakaeri		amarakaeri
arl	Arabela		arabela
hye	Armenian		armenian
arn	Mapudungun (Mapuzgun)		mapudungun-mapuzgun
ara/arb	Arabic (Alarabia)		arabic
asm	Assamese		assamese
aka/twi/asan1239	Asante		asante
ace	Achehnese		achehnese
ast	Asturian (Bable)		asturian-bable
oci/auve1239	Occitan Auvergnat		occitan-auvergnat
aym	Aymara		aymara
aze/azj	Azeri/Azerbaijani (Latin)	Latn	azeriazerbaijani-latin
aze/azj	Azeri/Azerbaijani (Cyrillic)	Cyrl	azeriazerbaijani-cyrillic
bba	Batonu (Bariba)		batonu-bariba
bci	Baoulé/Baule		baoulebaule
bis	Bichelamar		bichelamar
bem	Bemba		bemba
bal	Balochi		balochi
bho	Bhojpuri		bhojpuri
bik	Bikol/Bicolano		bikolbicolano
bul	Bulgarian (Balgarski)		bulgarian-balgarski
hmn	Hmong (Miao), Sichuan-Guizhou-Yunnan		hmong-miao-sichuan-guizhou-yunnan
mya	Burmese/Myanmar		burmesemyanmar
ben	Bengali		bengali
boa	Bora		bora
bug	Bugisnese		bugisnese
bre	Breton		breton
eus	Basque (Euskara)		basque-euskara
beb/btb	Béti		beti
ban	Balinese		balinese
cab	Garifuna		garifuna
cak	Cakchiquel		cakchiquel
cbr	Cashibo-Cacataibo		cashibo-cacataibo
cbs	Cashinahua		cashinahua
cbt	Chayahuita		chayahuita
cbu	Candoshi-Shapra		candoshi-shapra
zha	Zhuang		zhuang
ceb	Cebuano		cebuano
cpa	Chinanteco, Ajitlán		chinanteco-ajitlan
zho/cmn	Chinese (Mandarin)		chinese
cic	Chickasaw		chickasaw
cha	Chamorro		chamorro
cjk	Cokwe		cokwe
cat	Catalan (Català)		catalan-catala
cni	Asháninca		ashaninca
cos	Corsican		corsican
cot	Caquinte		caquinte
cjo	Campa pajonalino		campa-pajonalino
prq	Ashéninca		asheninca
cre/csw	Swampy Cree		swampy-cree
crs	Seselwa Creole French		seselwa-creole-french
cte	Chinanteco		chinanteco
ces	Czech (Cesky)		czech-cesky
dag	Dagbani		dagbani
ddn	Dendi		dendi
dga	Dagaare		dagaare
dan	Danish (Dansk)		danish-dansk
gjn	Gonja		gonja
nld	Dutch (Nederlands)		dutch-nederlands
dyo	Jola-Fogny (Diola)		jola-fogny-diola
dzo	Dzongkha/Bhutanese		dzongkhabhutanese
bin	Edo		edo
rgn/samm1243	Sammarinese		sammarinese
eng	English		english
iku	Inuktitut		inuktitut
kal	Greenlandic (Inuktikut)		greenlandic-inuktikut
est	Estonian (Eesti)		estonian-eesti
eve	Even		even
ewe	Ewe/Eve		eweeve
fao	Faroese		faroese
fin	Finnish		finnish
fij	Fijian		fijian
fon	Fon		fon
fry	Frisian		frisian
fur	Friulian (Friulano)		friulian-friulano
fra	French (Français)		french
wln	Walloon/Wallon		walloonwallon
pcd	Picard		picard
ful/fuf	Peuhl		peuhl
ful/fuc	Pulaar		pulaar
ada	Dangme		dangme
gaa	Ga		ga
gag	Gagauz		gagauz
orm	Oromiffa (Afaan Oromo)		oromiffa-afaan-oromo
hau	Hausa/Haoussa		hausahaoussa
kat	Georgian		georgian
deu	German (Deutsch)		german-deutsch
guj	Gujarati		gujarati
kpe/gkp	Kpelewo		kpelewo
gle	Irish Gaelic		irish-gaelic
glg	Galician (Galego)		galician-galego
gla	Scottish Gaelic		scottish-gaelic
ell	Greek (Ellinika')		greek-ellinika
guc	Wayuu		wayuu
grn	Guarani		guarani
hat	Haitian Creole (Kreyol)		haitian-creole-kreyol
hat	Haitian Creole (popular)		haitian-creole-popular
heb	Hebrew		hebrew
hmn/huj	Hmong (Miao) Northern East-Guizhou		hmong-miao-northern-east-guizhou
hil	Hiligaynon		hiligaynon
hmn/hmy	Hmong (Miao) Southern East-Guizhou		hmong-miao-southern-east-guizhou
gej	Guen (Mina)		guen-mina
hin	Hindi		hindi
hun	Hungarian		hungarian
hni	Hani		hani
huu	Huitoto Murui		huitoto-murui
hus	Huasteco		huasteco
haw	Hawaiian		hawaiian
ibb	Ibibio		ibibio
isl	Icelandic (íslenska)		icelandic-islenska
ibo	Igbo		igbo
ylo	Yi		yi
ilo	Iloko/Ilocano		ilokoilocano
msa/ind	Indonesian		indonesian
ita	Italian		italian
jav	Javanese		javanese
jpn	Japanese (Nihongo)		japanese-nihongo
xsm	Kasem		kasem
kaz	Kazakh		kazakh
kbp	Kabyè		kabye
kur/kmr	Kurdish		kurdish
kde	Makonde		makonde
kir	Kyrgyz		kyrgyz
mon/khk	Mongolian (Khalkha)		mongolian-khalkha
kan	Kannada		kannada
kor	Korean (Hankuko)		korean-hankuko
khm	Khmer		khmer
ktu	Kikongo ya L'Etat (Kikongo/Kituba)		kikongo-ya-letat-kikongokituba
koo	Rukonzo (Konjo)		rukonzo-konjo
kau/knc/yerw1238	Kanuri Yerwa		kanuri-yerwa
kqn	Kaonde		kaonde
kri	Krio		krio
kas	Kashmiri		kashmiri
ksw	Karen (S'gaw)		karen-sgaw
kmr	Kurmanji		kurmanji
lug	Luganda/Ganda		lugandaganda
lav	Latvian		latvian
loz	Lozi		lozi
lia	Limba		limba
lin	Lingala		lingala
lit	Lithuanian (Lietuviskai)		lithuanian-lietuviskai
smi	Sami/Lappish		samilappish
lat	Latin (Latina)		latin-latina
lua	Luba-Kasai (Tshiluba)		luba-kasai-tshiluba
lue	Luvale		luvale
mam	Mam		mam
mul	Mazateco		mazateco
maz	Mazahua (Jñatrjo)		mazahua-jnatrjo
mri	Maori		maori
mcd	Sharanahua		sharanahua
mcf	Matsés		matses
mlg	Malagasy		malagasy
men	Mende		mende
mad	Madurese		madurese
mos	Mooré/More		mooremore
mic	Mikmaq/Micmac		mikmaqmicmac
miq	Miskito		miskito
mal	Malayalam		malayalam
mwr	Marwari		marwari
mkd	Macedonian		macedonian
msa/zsm	Malay (Bahasa Melayu)		malay-bahasa-melayu
kmb	Kimbundu		kimbundu
lun	Lunda/Chokwe-lunda		lundachokwe-lunda
mlt	Maltese		maltese
umb	Umbundu		umbundu
man	Maninka		maninka
msa/min	Minangkabau		minangkabau
mar	Marathi		marathi
mixt1427	Mixteco		mixteco
mah	Marshallese		marshallese
nav	Dine, Navajo (Navaho)		dine-navajo-navaho
nba	Ngangela (Nyemba)		ngangela-nyemba
nde	Ndebele		ndebele
nep/npi	Nepali		nepali
nah	Nahuatl		nahuatl
lao	Lao		lao
not	Nomatsiguenga		nomatsiguenga
nno	Norwegian (Nynorsk) (Norsk, Nynorsk)		norwegian-nynorsk-norsk-nynorsk
nob	Norwegian (Bokmål) (Norsk, Bokmål)		norwegian-bokmal-norsk-bokmal
lns	Lamnso' (Lám nso')		lamnso-lam-nso
nya	Nyanja/Chinyanja		nyanjachinyanja
nkor1241/nyn	Runyankore-rukiga/Nkore-kiga		runyankore-rukigankore-kiga
nym	Kinyamwezi (Nyamwezi)		kinyamwezi-nyamwezi
nzi	Nzema		nzema
gio	Klau		klau
qul	Quechua, North Bolivian		quechua-north-bolivian
tso	Shangani		shangani
ven	Venda		venda
bax	Bamum		bamum
kor/hamg1238	Yeonbyeon		yeonbyeon
niu	Niue		niue
kdh	Tem		tem
ful/fuv	Fulfude		fulfude
hau	Hausa		hausa
idu	Idoma		idoma
ijo	Ijaw		ijaw
hbs/cnr	Montenegrin		montenegrin
kaa	Karakalpak		karakalpak
fkv	Kven		kven
mfq	Moba		moba
kpe/gkp	Pkele		pkele
kqs	Kissie		kissie
crh	Crimean Tatar		crimean-tatar
aar	Afar		afar
rhg	Rohingya		rohingya
gsw	Elsassisch		elsassisch
tam	Indian Tamil		indian-tamil
fvr	Fur		https://www.ohchr.org/en/ohchr/node/71465
mor	Moro		https://www.ohchr.org/en/ohchr/node/71466
udu	Uduk		https://www.ohchr.org/en/ohchr/node/71467
oji	Ojibway (Ojibwe)		ojibway-ojibwe
ori/ory	Oriya		oriya
oss	Osetin (Ossetian)		osetin-ossetian
pbb	Paez		paez
pus	Pashto/Pakhto		pashtopakhto
pcm	Nigerian Pidgin English		nigerian-pidgin-english
tpi	Tok Pisin		tok-pisin
tgk	Tajik		tajik
pis	Solomons Pidgin (Pijin)		solomons-pidgin-pijin
pau	Palauan		palauan
pam	Kapampangan		kapampangan
pon	Ponapean		ponapean
lah/pan	Punjabi/Panjabi		punjabipanjabi
por	Portuguese		portuguese
ppl	Pipil		pipil
pol	Polish (Polski)		polish-polski
fas/pes	Farsi/Persian		farsipersian
fas/prs	Dari		dari
oci/lang1309	Occitan Languedocien		occitan-languedocien
pwo	Western Pwo Karen		western-pwo-karen
que/qwh	Quechua del Callejon de Huaylas		quechua-del-callejon-de-huaylas
que/qxu	Quechua de Cotahuasi (Arequipa)		quechua-de-cotahuasi-arequipa
que/boli1262	Quechua		quechua
que/huay1239	Quechua de Pomabamba (Ancash)		quechua-de-pomabamba-ancash
que/qva	Quechua de Ambo-Pasco		quechua-de-ambo-pasco
que/qvm	Quechua de Margos (Sur de Dios de Mayo, Huanuco)		quechua-de-margos-sur-de-dios-de-mayo-huanuco
que/qvh	Quechua de Huamalies (Huanuco)		quechua-de-huamalies-huanuco
que/qvn	Quechua del Norte de Junin		quechua-del-norte-de-junin
que/qvc	Quechua de Cajamarca		quechua-de-cajamarca
que/qug	Quichua		quichua
que/quy	Quechua de Ayacucho		quechua-de-ayacucho
que/quz	Quechua del Cusco		quechua-del-cusco
roh	Rhaeto-Romance (Rumantsch)		rhaeto-romance-rumantsch
rom	Romani		romani
rup	Vlach		vlach
rar	Maori (Cook Islands) (Rarotongan)		maori-cook-islands-rarotongan
kin	Kinyarwanda		kinyarwanda
run	Kirundi		kirundi
ron	Romanian (Româna)		romanian-romana
rus	Russian		russian
bel	Belorus (Belaruski)		belorus-belaruski
sag	Sango (Sangho)		sango-sangho
srr	Seereer		seereer
sna	Shona		shona
shp	Shipibo-Conibo		shipibo-conibo
shn	Shan		shan
lah/skr	Saraiki		saraiki
san	Sanskrit		sanskrit
slk	Slovak (Slovencina)		slovak-slovencina
slv	Slovenian (Slovenscina)		slovenian-slovenscina
smo	Samoan		samoan
snd	Sindhi		sindhi
sin	Sinhala		sinhala
snk	Soninké (Soninkanxaane)		soninke-soninkanxaane
som	Somali		somali
spa	Spanish		spanish
hbs/bos	Bosnian (Latin script)	Latn	bosnian-latin-script
hbs/hrv	Hrvatski (Croatian)		hrvatski-croatian
hbs/srp	Serbian (Latin) (Srpski)	Latn	serbian-latin-srpski
hbs/bos	Bosnian (Cyrillic script)	Cyrl	bosnian-cyrillic-script
hbs/srp	Serbian (Cyrillic) (Srpski)	Cyrl	serbian-cyrillic-srpski
srd	Sardinian		sardinian
nso	Northern Sotho/Pedi/Sepedi		northern-sothopedisepedi
sot	Southern Sotho/Sotho/Sesotho/Sutu/Sesutu		southern-sothosothosesothosutusesutu
suk	Sukuma		sukuma
sus	Sussu/Soussou/Sosso/Soso/Susu		sussusoussousossosososusu
sun	Sundanese		sundanese
swa	Swahili/Kiswahili		swahilikiswahili
swe	Swedish (Svenska)		swedish-svenska
ssw	Siswati		siswati
taj	Tamang (Tam)		tamang-tam
tbz	Ditammari		ditammari
tca	Ticuna		ticuna
tuk	Turkmen		turkmen
tam	Tamil		tamil
tel	Telugu		telugu
tem	Themne (Temne)		themne-temne
fil	Filipino (Tagalog)		filipino-tagalog
tir	Tigrinya (Tigrigna)		tigrinya-tigrigna
tha	Thai		thai
tah	Tahitian		tahitian
bod	Tibetan		tibetan
tiv	Tiv		tiv
tob	Toba		toba
toi	Tonga		tonga
toj	Tojol-a'b'al		tojol-abal
toto1252	Totonaco		totonaco
ton	Tongan (Tonga)		tongan-tonga
tur	Turkish (Türkçe)		turkish-turkce
chk	Trukese (Chuuk)		trukese-chuuk
tsn	Western Sotho/Tswana/Setswana		western-sothotswanasetswana
tet	Tetum		tetum
tat	Tatar		tatar
aka/twi	Akuapem Twi		akuapem-twi
aka/fat	Fante		fante
tzo	Tzotzil		tzotzil
tzh	Tzeltal		tzeltal
tia	Tamazight (Beraber)		tamazight-beraber
uig	Uighur		uighur
ukr	Ukrainian (Ukrayins'ka)		ukrainian-ukrayinska
ura	Urarina		urarina
urd	Urdu		urdu
uzb	Uzbek (Latin)	Latn	uzbek-latin
uzb	Uzbek (Cyrillic)	Cyrl	uzbek-cyrillic
vie	Vietnamese		vietnamese
wen	Sorbian		sorbian
cym	Welsh (Cymraeg)		welsh-cymraeg
wol	Wolof		wolof
war	Waray		waray
xho	Xhosa		xhosa
yad	Yagua		yagua
yao	Yao		yao
yid	Yiddish		yiddish
ykg	Yukagir		yukagir
yor	Yoruba (Yorùbá)		yoruba-yoruba
yap	Yapese		yapese
yua	Mayan (Yucateco)		mayan-yucateco
zap	Zapoteco		zapoteco
zul	Zulu		zulu
acu	Achuar Chicham		achuar-chicham
con	A'ingae		aingae
kwi	Awapit		awapit
man/bam	Bambara		bambara
tso/chan1318	Changane (Mozambique)		changane-mozambique
sey/ecua1247	Bai Coca		bai-coca
cbi	Chaa'pala		chaapala
cfm	Chin Falam		chin-falam
cnh	Chin Hakha		chin-hakha
ctd	Chin Tiddim		chin-tiddim
kea	Crioulo (Cabo Verde)		crioulo-cabo-verde
kon/kng/sout2809	Fiote (Angola)		fiote-angola
pov	Crioulo da Guiné-Bissau (Guinea Bissau Creole)		crioulo-da-guine-bissau-guinea-bissau-creole
din	Dinka		dinka
cri	Forro		forro
gyr	Guarayo		guarayo
que/colo1257/qug	Kichwa		kichwa
mag	Magahi		magahi
vmw	Makua (Mozambique)		makua-mozambique
mxi	Mozarabic (Ajami)		mozarabic-ajami
nya	Nyanja (Chechewa)		nyanja-chechewa
sey/ecua1247	Pai Koka		pai-koka
oci/prv/prov1235	Prouvençau		prouvencau
auc	Wao Tededo		wao-tededo
cof	Tsafiki		tsafiki
jiv	Shuar Chicham		shuar-chicham
sja	Sia Pedee		sia-pedee
sco	Scots		scots
zro	Sapara Atupama		sapara-atupama
zap/zab	Zapoteco, San Lucas Quiaviní		zapoteco-san-lucas-quiavini
lat	Latin (Latina)		latin-latina-0
div	Maldivian, Dhivehi		maldivian-dhivehi
krl	Karelian		karelian
yrk	Nenets		nenets
nio	Nganasan		nganasan
vep	Veps		veps
evn	Evenki		evenki
kjh	Khakas		khakas
cjs	Shor		shor
tyv	Tuvan		tuvan
sah	Yakut		yakut
alt	Altay		altay
bfa	Bari		bari
nus	Nuer		nuer
shk	Shilluk		shilluk
lot	Otuho		otuho
bvi	Balanda Viri		balanda-viri
man/dyu	Dioula		dioula
lob	Lobiri		lobiri
nku	Koulango		koulango
kom/koi	Komi-Permian		komi-permian
vai	Vai		vai
guu	Yanomamö		yanomamo
lad	Ladino		ladino
niv	Nivkh		nivkh
hlt	Chin Matu (Nga La)		chin-matu-nga-la
oaa	Uilta		uilta
nds	Low German (Niederdeutsche)		low-german-niederdeutsche
hus	Huastec, Veracruz		huastec-veracruz
cax	Chiquitano		chiquitano
njo	Ao		ao
awa	Awadhi		awadhi
hne	Chhattisgarhi		chhattisgarhi
gbm	Garhwali		garhwali
gon/gno	Gondi, Northern		gondi-northern
bjj	Kanauji		kanauji
mai	Maithili		maithili
lus	Mizo		mizo
kha	Khasi		khasi
hoc	Ho		ho
kfa	Kurug		kurug
khr	Kharia		kharia
unr	Mundari		mundari
ful/fuf	Pular		pular
mlg/buc	Kibushi		kibushi
swb	Shimaore		shimaore
gld	Nanai		nanai
kln/oki	Ogiek		ogiek
tmh/taq	Tamasheq		tamasheq
raj	Rajasthani		rajasthani
mni	Manipuri		manipuri
tly	Talysh		talysh
kbd	Kabardian		kabardian
ady	Adyghe		adyghe
hns/sarn1238	Sarnámi Hindustani		sarnami-hindustani
pap	Papiamentu		papiamentu
lij	Ligurian		ligurian
brd	Baram		baram
chx	Chantyal		chantyal
dhw	Danuwar		danuwar
scp	Hyolmo		hyolmo
jul	Jirel		jirel
kru/xis	Kisan		kisan
lhm	Lhomi		lhomi
lif	Limbu		limbu
mgp	Magar (Dhut)		magar-dhut
mjz	Majhi		majhi
new	Newar		newar
rjs	Rajbansi		rajbansi
rjs	Tajpuriya		tajpuriya
ths	Thakali		thakali
thf	Thangmi		thangmi
thl	Tharu-Dangaura		tharu-dangaura
kru	Uranw-Jhangad		uranw-jhangad
gvr	Gurung		gurung
frp/vala1242	Francoprovençal, Valais		francoprovencal-valais
lld	Ladin		ladin
ber	Amazigh		amazigh
frp/mis	Francoprovençal, Fribourg		francoprovencal-fribourg
frp/savo1253	Francoprovençal, Savoie		francoprovencal-savoie
frp/vaud1238	Francoprovençal, Vaud		francoprovencal-vaud
mixe1286	Mixe		mixe
vec	Venetian		venetian
bap	Bantawa rai		bantawa-rai
byh	Bhujel (Gharti)		bhujel-gharti
bmj	Bote		bote
rab	Chamling (Rodong)		chamling-rodong
cdm	Chepang (Praja Bhasa)		chepang-praja-bhasa
dry	Darai		darai
mag/nort2657	Dhanuk		dhanuk
dhi	Dhimal (Dhemal)		dhimal-dhemal
vay	Hayu (Wayu)		hayu-wayu
kra	Kumal (Kumhali)		kumal-kumhali
kgg	Kusunda (Kusanda)		kusunda-kusanda
lep	Lepcha (Nünpa, Rong, Rongpa)		lepcha-nunpa-rong-rongpa
brx	Meche (Bodo)		meche-bodo
phj	Pahari (Kullu)		pahari-kullu
rji	Raji		raji
sat	Santhali		santhali
