Title	Endonym	Status	Language	"Script (ISO
15924 code)"	"WP
code"	Language Code (if not Wikipedia Code)	Recovered language name	Articles	"Active
users"	Launch date	Launch Date	URL
English Wikipedia	English Wikipedia	Active	English	Latn	en		English	7,042,227	107,458	15 January 2001		en.wikipedia.org
Cebuano Wikipedia	Wikipedya sa Sinugboanon	Active	Cebuano	Latn	ceb		Cebuano	6,116,183	154	22 June 2005		ceb.wikipedia.org
German Wikipedia	Deutschsprachige Wikipedia	Active	German	Latn	de		German	3,042,824	38,598	16 March 2001		de.wikipedia.org
French Wikipedia	Wikipédia en français	Active	French	Latn	fr		French	2,703,458	38,502	23 March 2001		fr.wikipedia.org
Swedish Wikipedia	Svenskspråkiga Wikipedia	Active	Swedish	Latn	sv		Swedish	2,614,956	1,751	23 May 2001		sv.wikipedia.org
Dutch Wikipedia	Nederlandstalige Wikipedia	Active	Dutch	Latn	nl		Dutch	2,194,905	8,164	19 June 2001		nl.wikipedia.org
Russian Wikipedia	"Русская Википедия
(Russkaya Vikipediya)"	Active	Russian	Cyrl	ru		Russian	2,059,836	7,687	20 May 2001		ru.wikipedia.org
Spanish Wikipedia	Wikipedia en español	Active	Spanish	Latn	es		Spanish	2,055,650	11,768	20 May 2001		es.wikipedia.org
Italian Wikipedia	Wikipedia in italiano	Active	Italian	Latn	it		Italian	1,931,317	6,642	11 May 2001		it.wikipedia.org
Polish Wikipedia	Polskojęzyczna Wikipedia	Active	Polish	Latn	pl		Polish	1,666,418	10,848	26 June 2001		pl.wikipedia.org
Egyptian Arabic Wikipedia	"ويكيپيديا مصرى
(Wīkībīdiyā maṣri)"	Active	Egyptian Arabic	Arab	arz		Egyptian Arabic	1,628,630	199	24 November 2008		arz.wikipedia.org
Chinese Wikipedia	"Traditional Chinese: 中文維基百科,
simplified Chinese: 中文维基百科
(pinyin: Zhōngwén wéijī bǎikē)"	Active	"Chinese (written
vernacular Chinese)"	Hans/Hant	zh		Chinese	1,495,415	17,522	24 October 2002		zh.wikipedia.org
Japanese Wikipedia	"ウィキペディア日本語版
(Wikipedia nihongo-ban)"	Active	Japanese	Jpan	ja		Japanese	1,470,256	28,667	20 May 2001		ja.wikipedia.org
Ukrainian Wikipedia	"Українська Вікіпедія
(Ukrainska Vikipediia)"	Active	Ukrainian	Cyrl	uk		Ukrainian	1,388,371	6,586	30 January 2004		uk.wikipedia.org
Vietnamese Wikipedia	Wikipedia tiếng Việt	Active	Vietnamese	Latn	vi		Vietnamese	1,295,883	3,047	November 2002 (unknown day)		vi.wikipedia.org
Arabic Wikipedia	"ويكيبيديا العربية
(Wīkībīdiyā al-ʿarabiyya)"	Active	Arabic	Arab	ar		Arabic	1,276,505	7,628	8 July 2003		ar.wikipedia.org
Waray Wikipedia	Waray Wikipedia	Active	Waray	Latn	war		Waray (Philippines)	1,266,757	62	25 September 2005		war.wikipedia.org
Portuguese Wikipedia	Wikipédia em português	Active	Portuguese	Latn	pt		Portuguese	1,152,946	7,782	11 May 2001		pt.wikipedia.org
Persian Wikipedia	"ویکی‌پدیای فارسی
(Vikipediā-ye Fārsi)"	Active	Persian	Arab	fa		Persian	1,050,564	11,164	19 December 2003		fa.wikipedia.org
Catalan Wikipedia	Viquipèdia en català	Active	Catalan	Latn	ca		Catalan	779,627	938	16 March 2001		ca.wikipedia.org
Indonesian Wikipedia	Wikipedia bahasa Indonesia	Active	Indonesian	Latn	id		Indonesian	739,436	6,843	30 March 2003		id.wikipedia.org
Korean Wikipedia	"한국어 위키백과
(Hangugeo wikibaekgwa)"	Active	Korean	Hang	ko		Korean	719,092	7,729	11 October 2002		ko.wikipedia.org
Serbian Wikipedia	"Википедија на српском језику
(Vikipedija na srpskom jeziku)"	Active	Serbian	Cyrl/Latn	sr		Serbian	709,848	2,155	16 February 2003		sr.wikipedia.org
Norwegian Wikipedia (Bokmål)	Norsk Wikipedia	Active	Norwegian (Bokmål)	Latn	no		Norwegian	654,743	2,105	26 November 2001		no.wikipedia.org
Turkish Wikipedia	Türkçe Vikipedi	Active	Turkish	Latn	tr		Turkish	644,636	5,459	5 December 2002		tr.wikipedia.org
Chechen Wikipedia	"Нохчийн Википеди
(Noxçiyn Wikipedi)"	Active	Chechen	Cyrl	ce		Chechen	602,280	60	28 February 2005		ce.wikipedia.org
Finnish Wikipedia	Suomenkielinen Wikipedia	Active	Finnish	Latn	fi		Finnish	600,648	1,358	21 February 2002		fi.wikipedia.org
Czech Wikipedia	Česká Wikipedie	Active	Czech	Latn	cs		Czech	575,239	4,577	3 May 2002		cs.wikipedia.org
Hungarian Wikipedia	Magyar Wikipédia	Active	Hungarian	Latn	hu		Hungarian	560,053	1,273	8 July 2003		hu.wikipedia.org
Romanian Wikipedia	Wikipedia în limba română	Active	Romanian	Latn	ro		Romanian	516,035	2,090	12 July 2003		ro.wikipedia.org
Tatar Wikipedia	"Татар Википедиясе
(Tatar Wikipediäse)"	Active	Tatar	Cyrl	tt		Tatar	503,010	72	15 September 2003		tt.wikipedia.org
Basque Wikipedia	Euskarazko Wikipedia	Active	Basque	Latn	eu		Basque	470,195	284	6 December 2001		eu.wikipedia.org
Serbo-Croatian Wikipedia	"Srpskohrvatska Wikipedija
(Српскохрватска Википедија)"	Active	Serbo-Croatian	Latn/Cyrl	sh		Serbo-Croatian	461,003	385	"16 January 2002 –
20 February 2005 (original)
23 June 2005 (relaunch)"		sh.wikipedia.org
Southern Min Wikipedia	"Pe̍h-ōe-jī: Holopedia or
Wikipedia Bân-lâm-gú"	Active	Southern Min	Latn	zh-min-nan	nan	Min Nan Chinese	433,764	77	28 May 2004		zh-min-nan.wikipedia.org
